Rank	Gene	Mean_Tumor_TPM/Mean_Normal_TPM	P-value
69	SYT15	0.130638123	0
70	PLAC9	0.132260383	0
71	FXYD1	0.132767656	1.62E-12
72	FHL5	0.134035005	1.62E-12
73	IL1RL1	0.134257567	2.74E-06
74	MAMDC2	0.135180835	1.62E-12
75	FPR2	0.136065653	4.49E-09
76	EMCN	0.138247331	0
77	SFTPA1	0.13828788	0
78	CYP4B1	0.138652695	0
79	SOX7	0.139485728	2.23E-11
80	LRRC36	0.140129525	1.63E-12
81	C13orf15	0.14082165	0
82	C10orf116	0.141066623	0
83	KAL1	0.142012142	1.62E-12
84	ROBO4	0.142158717	0
85	IL6	0.142293571	0.00035966
86	HSPA12B	0.142674147	3.33E-16
87	S1PR1	0.144038475	0
88	RAMP2	0.144237764	0
89	CPB2	0.14649433	1.11E-16
90	LAMP3	0.147891436	1.62E-12
91	EMP2	0.148221843	0
92	DUOX1	0.149066616	0
93	KANK3	0.149081815	1.62E-12
94	CCDC48	0.149094973	1.62E-12
95	CALCRL	0.149882706	0
96	FOXF1	0.150629479	1.11E-16
97	HIGD1B	0.151216022	1.62E-12
98	LIMS2	0.151594728	0
99	PTPRB	0.152586458	2.66E-15
100	SFTPA2	0.153227855	1.62E-12
101	CDO1	0.154210365	0
102	PEBP4	0.155285387	0
103	SCN7A	0.157459838	1.68E-12
104	MFAP4	0.157697678	1.62E-12
105	EPAS1	0.158356215	1.62E-12
106	LDB2	0.159686892	0
107	SMAD6	0.159800525	1.74E-10
108	TNXB	0.160703987	1.11E-16
109	WIF1	0.161778211	1.62E-12
110	FAM46B	0.162823998	1.62E-12
111	SGEF	0.163480978	1.62E-12
112	TGFBR3	0.163662364	1.62E-12
113	AOC3	0.163708935	1.62E-12
114	PLA2G4F	0.164332012	0
115	CLDN5	0.165019776	1.69E-12
116	AKAP2	0.167022588	0
117	CXCL2	0.167744807	4.50E-05
118	C14orf132	0.168340756	1.62E-12
119	SLIT2	0.168852507	3.06E-14
120	ZBTB16	0.168894706	4.23E-09
121	SEMA6A	0.169354179	1.63E-12
122	NPR1	0.170112663	1.62E-12
123	GSTM5	0.171249857	1.62E-12
124	FGFR4	0.171730774	0
125	C11orf88	0.17184993	3.59E-05
126	CCL14	0.17317216	6.28E-10
127	VEPH1	0.17336585	1.62E-12
128	CDH5	0.173732476	1.62E-12
129	C2orf40	0.17429011	1.48E-09
130	CCL23	0.175012049	0
131	SEMA5A	0.175497696	1.62E-12
132	CRTAC1	0.176050232	1.62E-12
133	MT1M	0.176373214	3.45E-06
134	C9orf24	0.176435199	2.27E-05
135	ABI3BP	0.176931917	0
136	PTPN21	0.177169066	0
137	HSPB6	0.177355412	1.62E-12
138	PHACTR1	0.177481143	0
139	ACVRL1	0.179464212	1.62E-12
140	PIP5K1B	0.179511977	0
141	ARHGEF15	0.179581982	1.62E-12
142	TCEAL2	0.180336662	0
143	SIRPB1	0.181371285	1.62E-12
144	C20orf160	0.181767304	1.62E-12
145	HBEGF	0.182423156	3.78E-12
146	MMRN1	0.183406147	5.21E-11
147	GRK5	0.183473148	1.62E-12
148	PLA2G1B	0.186950533	0
149	OLR1	0.189327378	1.62E-12
150	GIMAP8	0.189840794	1.62E-12
151	SLC39A8	0.190274062	1.62E-12
152	COX4I2	0.190875566	0
153	GLDN	0.191312163	2.22E-16
154	C1orf194	0.191414856	0.000103736
155	DARC	0.191778288	3.06E-11
156	JAM2	0.191916237	0
157	LOC723809	0.19257587	0
158	CACNA2D2	0.192585571	1.62E-12
159	ANGPT1	0.192676348	1.62E-12
160	SELP	0.193930046	1.63E-12
161	TBX4	0.194159887	0
162	SFTPD	0.19558048	0
163	VWF	0.196569814	1.63E-12
164	PDK4	0.196628488	9.30E-10
165	RASGRF1	0.196890352	1.62E-12
166	GPR146	0.197368783	0
167	CFD	0.197865244	0
168	ANKRD29	0.198265179	1.62E-12
169	CSRNP1	0.199934377	3.35E-12
170	FAM162B	0.20002743	3.33E-16
171	DLC1	0.200147665	0
172	GKN2	0.201045859	1.62E-12
173	SNTN	0.20219205	8.04E-05
174	PCOLCE2	0.202264285	1.62E-12
175	PDZD2	0.202968515	0
176	WWC2	0.202984685	1.62E-12
177	CHRDL1	0.203298354	1.62E-12
178	HSD17B6	0.203392155	0
179	GRASP	0.203442188	1.63E-12
180	THBD	0.203900017	1.63E-12
181	PRAM1	0.20441924	1.63E-12
182	CLEC14A	0.20447946	1.62E-12
183	PALM2-AKAP2	0.204951188	1.62E-12
184	NR4A3	0.206941106	7.24E-08
185	ECSCR	0.207444186	0
186	MME	0.208007094	0
187	C20orf85	0.208170687	7.65E-05
188	LRRC32	0.208392974	2.10E-12
189	SLC1A1	0.208464831	0
190	SH2D3C	0.208697765	1.62E-12
191	RBP4	0.208746361	0
192	ADAMTS1	0.209874956	3.66E-11
193	DPEP2	0.209907507	1.62E-12
194	AGTR2	0.210145207	1.90E-08
195	KLF4	0.210587273	2.01E-12
196	SPN	0.210988312	0
197	CYYR1	0.211160194	0
198	LPL	0.212079725	1.11E-16
199	SLIT3	0.213097204	1.11E-16
200	CGNL1	0.213194527	0
201	FAM183A	0.213745579	0.00024488
202	LRRK2	0.214471289	0
203	MRC1	0.214472308	1.62E-12
204	CD52	0.214838239	1.63E-12
205	C6orf105	0.214847129	1.62E-12
206	VSIG4	0.215025932	3.44E-15
207	IL33	0.215128768	1.62E-12
208	FGD5	0.215982314	0
209	CAV2	0.216895193	0
210	CLEC1A	0.218028766	0
211	TPPP3	0.218330043	3.09E-10
212	PECAM1	0.218349487	0
213	DUOXA1	0.219268628	1.62E-12
214	S100A3	0.219356643	1.23E-11
215	STARD8	0.220231513	1.22E-15
216	TNS1	0.220404935	0
217	MYCT1	0.221336213	1.62E-12
218	ARHGAP31	0.221984735	0
219	MSR1	0.222119666	0
220	CXCL3	0.223377045	0.00065732
221	SUSD2	0.224674966	1.62E-12
222	ZBED2	0.225348676	6.61E-11
223	CD93	0.226090725	1.62E-12
224	GPX3	0.226181805	1.62E-12
225	ERG	0.228450371	1.62E-12
226	ANXA8L2	0.229268689	5.02E-13
227	HYAL1	0.229816245	0
228	OSCAR	0.229960133	0
229	CA2	0.232070631	0
230	RASIP1	0.232642139	1.62E-12
231	ABCA3	0.233285598	0
232	ZMYND10	0.233352053	8.04E-05
233	MS4A7	0.233828307	0
234	MMRN2	0.234030517	1.62E-12
235	ITIH5	0.234250019	0
236	SGCA	0.234395789	0
237	TBX3	0.235430806	3.06E-14
238	RAI2	0.235621501	1.62E-12
239	KIAA1462	0.236458545	1.63E-12
240	DAPK2	0.23726334	1.62E-12
241	TMEM190	0.238251952	0.00079536
242	CFP	0.238906082	1.62E-12
243	OTUD1	0.239114625	0
244	C7orf58	0.239380345	0
245	TMEM88	0.239501551	1.62E-12
246	SVEP1	0.240371341	2.22E-16
247	GPM6B	0.242769257	1.62E-12
248	PALMD	0.24353196	1.62E-12
249	WISP2	0.244530314	3.03E-12
250	ST6GALNAC5	0.244920112	1.62E-12
