id	logFC	AveExpr	t	P.Value	adj.P.Val	B
TMEM177	1.551864949	3.329901161	19.51972989	5.42E-66	8.54E-64	139.5068532
SAPCD2	3.364660861	3.293712478	19.5068131	6.32E-66	9.86E-64	139.3533597
STARD8	-2.228191665	3.514899733	-19.49828903	7.00E-66	1.08E-63	139.2520782
KANK2	-1.675798608	6.464424305	-19.49710007	7.10E-66	1.08E-63	139.2379519
LYVE1	-3.44203002	2.699112696	-19.47636615	9.09E-66	1.38E-63	138.9916389
GOLM1	2.432253738	7.783368812	19.44787851	1.28E-65	1.91E-63	138.6533077
PTPRB	-2.752523925	5.28030968	-19.38050615	2.85E-65	4.23E-63	137.8536024
LGI3	-6.492976263	0.614138284	-19.37640687	3.00E-65	4.40E-63	137.8049643
EMCN	-2.977149099	3.565390677	-19.37377476	3.09E-65	4.50E-63	137.7737354
E2F8	3.003202861	2.37276981	19.36040687	3.63E-65	5.23E-63	137.6151456
MMRN2	-2.214280869	4.523846306	-19.32584156	5.48E-65	7.81E-63	137.205195
PDLIM2	-2.082074864	4.53888788	-19.2912466	8.27E-65	1.17E-62	136.7950593
MGAT3	-3.840796212	2.62918415	-19.18293847	3.00E-64	4.21E-62	135.5121218
UBE2T	2.994325526	3.601698414	19.16367083	3.78E-64	5.24E-62	135.2840677
GRASP	-2.41003181	3.123913402	-19.145221	4.70E-64	6.47E-62	135.0657439
C14orf132	-2.998792963	3.847034696	-19.14200396	4.89E-64	6.66E-62	135.0276805
SOX17	-2.680524414	1.14303561	-19.14039713	4.98E-64	6.73E-62	135.0086694
ADRB2	-3.467486365	2.319910085	-19.13663154	5.21E-64	6.97E-62	134.9641186
COL10A1	4.583849358	4.679209571	19.11536339	6.71E-64	8.90E-62	134.7125328
SOX7	-3.01859151	2.060483784	-19.08747462	9.34E-64	1.23E-61	134.382731
HIGD1B	-2.982853233	1.29447718	-19.04166314	1.61E-63	2.10E-61	133.8412322
UHRF1	3.098395771	3.301207715	19.03372658	1.77E-63	2.29E-61	133.7474526
FRMD3	-2.713902264	1.798242392	-19.00749915	2.42E-63	3.10E-61	133.4376127
GPR146	-2.304707493	0.540809196	-18.97367232	3.61E-63	4.59E-61	133.0381498
SRPK1	1.522766786	6.31636604	18.95362362	4.58E-63	5.77E-61	132.8014757
FMO2	-3.674570823	4.8090183	-18.94413747	5.12E-63	6.40E-61	132.6895135
ETV4	3.457189182	4.829427262	18.93539423	5.68E-63	7.05E-61	132.5863318
B3GNT3	4.148651211	4.544681632	18.85994859	1.39E-62	1.71E-60	131.6964646
ST8SIA6	-3.735970071	-0.311618319	-18.84819242	1.60E-62	1.95E-60	131.5578824
TUBB3	4.146839886	2.005798228	18.84042711	1.75E-62	2.12E-60	131.4663566
CTXND1	-4.134848139	-0.343354872	-18.82199045	2.18E-62	2.62E-60	131.2490908
OTX1	3.352550058	1.835685736	18.81479441	2.37E-62	2.82E-60	131.1643041
MCEMP1	-5.026844204	2.504681288	-18.81427751	2.39E-62	2.82E-60	131.158214
FEZ1	-2.262662768	2.809286392	-18.79348934	3.05E-62	3.58E-60	130.9133268
CTHRC1	3.7125213	5.264495956	18.77518806	3.79E-62	4.41E-60	130.6977922
BTNL9	-4.013288163	2.181871869	-18.75927363	4.58E-62	5.29E-60	130.5104108
CD36	-3.652214187	4.330130556	-18.75856537	4.62E-62	5.29E-60	130.5020725
TMEM184A	2.910603397	4.899403324	18.71551641	7.68E-62	8.74E-60	129.9954099
NPR1	-3.072892021	3.531913534	-18.71190241	8.02E-62	9.05E-60	129.9528887
LRRC32	-2.29200383	5.058770041	-18.70424963	8.78E-62	9.84E-60	129.8628554
TNNC1	-4.319161464	2.315419787	-18.70343565	8.86E-62	9.86E-60	129.8532797
SFXN1	1.446258741	5.412453267	18.63063807	2.10E-61	2.31E-59	128.9973195
CDC25C	3.188437749	1.462380307	18.62950046	2.12E-61	2.33E-59	128.9839502
CSRNP1	-2.278137008	5.633385571	-18.62360513	2.28E-61	2.48E-59	128.9146716
INMT	-4.163052744	4.301750848	-18.6214634	2.34E-61	2.52E-59	128.8895046
TENT5B	-3.193732465	2.341332373	-18.60412902	2.87E-61	3.07E-59	128.6858401
AOC3	-2.958847434	5.576722416	-18.58786335	3.47E-61	3.70E-59	128.4947774
CAVIN1	-2.25732109	7.548888907	-18.53210848	6.70E-61	7.09E-59	127.8401953
BUB1B	3.089136595	3.224213197	18.52198925	7.55E-61	7.94E-59	127.721448
TCF21	-3.738608351	2.298696118	-18.51604384	8.10E-61	8.45E-59	127.6516877
NDST1	-1.610317024	6.719581699	-18.49690796	1.02E-60	1.05E-58	127.4271983
KIF4A	3.453225837	3.484154931	18.4903308	1.10E-60	1.13E-58	127.3500538
SPTBN1	-1.784013918	8.712951738	-18.4822769	1.21E-60	1.23E-58	127.2555986
SEMA6A	-2.774542338	3.006130841	-18.47572161	1.30E-60	1.32E-58	127.1787269
ORC6	2.749373284	2.37948144	18.46388166	1.50E-60	1.51E-58	127.0399026
KIF20A	2.930443993	3.661774444	18.41442591	2.68E-60	2.69E-58	126.4602904
CD93	-2.313357019	6.472748185	-18.27673458	1.36E-59	1.35E-57	124.8488219
GLIPR2	-2.373232762	5.093390858	-18.25837	1.68E-59	1.66E-57	124.6341461
HJURP	3.473065047	3.126215475	18.25405069	1.77E-59	1.74E-57	124.5836636
RHOJ	-1.954091007	3.458049486	-18.24416732	1.99E-59	1.94E-57	124.4681631
ERCC6L	2.829511568	1.634740537	18.24143553	2.05E-59	1.99E-57	124.4362415
GRIA1	-4.890617256	-0.057847588	-18.22214521	2.57E-59	2.48E-57	124.2108683
ADPRH	-1.69741307	4.009342254	-18.21355732	2.85E-59	2.73E-57	124.1105556
ACTN2	-3.267587647	-0.70892873	-18.21225636	2.89E-59	2.75E-57	124.0953606
SMAD6	-2.418575446	3.654581158	-18.21050969	2.95E-59	2.79E-57	124.0749603
SASH1	-1.887918112	5.120819469	-18.20270707	3.23E-59	3.04E-57	123.9838361
EZH2	2.348026986	3.938489222	18.19557528	3.52E-59	3.28E-57	123.9005559
EFCC1	-2.834304885	1.985156364	-18.18056244	4.19E-59	3.89E-57	123.7252765
FAM110D	-2.369420448	0.379295835	-18.1706524	4.71E-59	4.35E-57	123.6095963
PLK1	2.940927644	4.033558152	18.16124614	5.26E-59	4.82E-57	123.4998134
CNTN6	-4.709643201	-0.121914319	-18.15645246	5.57E-59	5.07E-57	123.4438714
HBA2	-4.750138702	2.158690786	-18.14041955	6.72E-59	6.08E-57	123.2567986
RGS9	-2.489568851	0.530019675	-18.13794662	6.92E-59	6.23E-57	123.2279486
NMUR1	-2.8035585	0.085975189	-18.11843068	8.69E-59	7.78E-57	123.0003085
KIF26B	2.985549925	4.925417461	18.11577572	8.97E-59	7.98E-57	122.9693456
NEK2	3.355940445	3.150864843	18.06020252	1.72E-58	1.52E-56	122.3215367
MND1	2.582912037	1.204527959	18.05385968	1.85E-58	1.63E-56	122.2476359
THBD	-2.625741663	5.297637	-18.04098395	2.15E-58	1.88E-56	122.0976429
SPAG5	2.78085997	4.349381327	18.03213508	2.39E-58	2.08E-56	121.9945782
PAICS	1.736145245	6.762793529	18.02457851	2.61E-58	2.26E-56	121.9065767
CDC20	3.470319375	4.257296684	18.01027902	3.09E-58	2.65E-56	121.7400789
TGM1	-2.588196241	0.94632337	-17.99510237	3.69E-58	3.15E-56	121.5634101
RMI2	2.190473612	3.535223633	17.98972088	3.92E-58	3.34E-56	121.5007756
STIL	2.323014211	3.276175529	17.97879387	4.46E-58	3.77E-56	121.3736144
GIMAP6	-2.246938648	4.487165892	-17.97136752	4.86E-58	4.09E-56	121.2872045
TNS1	-2.344917559	7.934628734	-17.97092918	4.89E-58	4.09E-56	121.2821045
DLGAP5	3.329450514	3.248426126	17.97010725	4.94E-58	4.10E-56	121.2725417
TGFBR3	-2.928133392	3.847715586	-17.96340783	5.34E-58	4.41E-56	121.1946007
TNR	-3.822872653	-1.141353969	-17.96061023	5.52E-58	4.54E-56	121.162056
MEX3A	3.617867963	3.898901848	17.95606052	5.82E-58	4.76E-56	121.109132
NLRC4	-2.206060644	2.133821252	-17.94267545	6.80E-58	5.53E-56	120.9534548
SERINC1	-1.194846541	7.638326639	-17.91580343	9.31E-58	7.54E-56	120.6410196
ARHGAP31	-2.359455251	5.258068583	-17.88733569	1.30E-57	1.05E-55	120.3101835
ADAMTS8	-4.432472117	1.703066391	-17.86000467	1.79E-57	1.43E-55	119.9927059
KIF14	3.28256393	2.534295859	17.85291643	1.94E-57	1.55E-55	119.9103926
TIE1	-2.115540512	4.669455487	-17.8499342	2.01E-57	1.59E-55	119.8757639
XRCC2	2.820274396	2.15260597	17.84940403	2.02E-57	1.59E-55	119.8696079
CDO1	-3.065252309	0.667814761	-17.82895613	2.57E-57	2.01E-55	119.6322227
HEG1	-2.265154508	6.241058625	-17.77623662	4.75E-57	3.70E-55	119.020568
ALKAL2	-3.474074934	-0.556756724	-17.7716255	5.01E-57	3.89E-55	118.9670956
ARHGEF39	2.198566738	2.436468132	17.72394406	8.74E-57	6.74E-55	118.4144128
NXPH3	-2.637332109	1.261816343	-17.71909322	9.24E-57	7.10E-55	118.3582115
SLIT2	-2.68810991	4.470829253	-17.71186561	1.01E-56	7.68E-55	118.2744821
LRRC36	-3.960117941	1.123426446	-17.6960051	1.21E-56	9.19E-55	118.0907802
KIF2C	3.190803775	3.757931065	17.68619973	1.36E-56	1.03E-54	117.9772365
SPRYD7	-1.313977169	3.894289544	-17.68387103	1.39E-56	1.05E-54	117.9502736
RCC1	1.632449165	5.794043168	17.66125551	1.81E-56	1.36E-54	117.6884766
ASPA	-3.017637439	0.065444799	-17.63620398	2.43E-56	1.81E-54	117.398602
DENND3	-1.812201563	5.557835629	-17.62953526	2.62E-56	1.94E-54	117.3214591
PPAT	1.787329763	4.119910242	17.62339272	2.82E-56	2.08E-54	117.2504109
STX12	-1.012901827	6.112213221	-17.61753455	3.01E-56	2.21E-54	117.1826591
GSTM5	-2.688334592	1.482398637	-17.6121586	3.21E-56	2.34E-54	117.1204907
MMP11	4.794344044	4.763525738	17.60552262	3.47E-56	2.52E-54	117.0437591
ANOS1	-3.215336134	4.85192296	-17.60245975	3.59E-56	2.60E-54	117.0083464
PLPP2	2.697537729	5.970328108	17.60031462	3.68E-56	2.65E-54	116.9835456
MYO19	1.573381975	5.412506067	17.58724326	4.29E-56	3.07E-54	116.8324427
CDCA8	2.752759909	3.661807677	17.58201871	4.55E-56	3.25E-54	116.7720575
CCDC85A	-3.201406614	0.091048553	-17.54926153	6.66E-56	4.73E-54	116.3935804
EFNA4	2.046563317	3.972733029	17.53375439	7.98E-56	5.64E-54	116.2144885
ASPM	3.275016971	3.658619423	17.53227863	8.11E-56	5.71E-54	116.1974475
FUT2	3.00639834	3.847006801	17.51365799	1.01E-55	7.05E-54	115.9824701
SPAG4	2.59869218	3.417798402	17.49259295	1.29E-55	8.96E-54	115.7393594
HBEGF	-2.675637472	4.566571278	-17.48853139	1.35E-55	9.35E-54	115.6924958
PHACTR1	-2.648080181	3.799874701	-17.4470466	2.18E-55	1.51E-53	115.2140311
SCN4B	-3.213096203	2.364051039	-17.44435964	2.25E-55	1.55E-53	115.1830537
SLC19A3	-3.550420596	1.491480901	-17.41819624	3.05E-55	2.09E-53	114.8815012
ANLN	3.328166627	4.691225835	17.40782344	3.44E-55	2.34E-53	114.7619876
DPEP2	-2.484548379	2.338322419	-17.40511429	3.54E-55	2.40E-53	114.730777
CDC6	3.017382471	3.711565728	17.39921137	3.80E-55	2.56E-53	114.6627783
IL3RA	-1.767170737	3.459227316	-17.38691486	4.38E-55	2.94E-53	114.5211525
GINS1	2.689741395	3.34332671	17.38402158	4.53E-55	3.03E-53	114.4878337
GIMAP1	-2.138422515	2.927140322	-17.36397027	5.71E-55	3.77E-53	114.2569741
GDF10	-4.148820915	1.019660533	-17.36393594	5.71E-55	3.77E-53	114.2565789
CCDC141	-3.71326297	0.146366793	-17.36389776	5.71E-55	3.77E-53	114.2561394
SPTBN2	2.396666079	5.318177199	17.35498881	6.33E-55	4.17E-53	114.1535946
FHL5	-3.108108148	1.013929344	-17.35226985	6.54E-55	4.28E-53	114.1223021
HBB	-4.839987856	4.47946174	-17.34890126	6.80E-55	4.43E-53	114.083535
NUF2	3.230889187	2.853151743	17.34700366	6.95E-55	4.51E-53	114.0616978
SESN1	-1.740683644	4.328811264	-17.33720238	7.78E-55	5.03E-53	113.9489189
CENPF	3.085696421	4.983549701	17.33006237	8.45E-55	5.44E-53	113.8667753
CGNL1	-2.485606711	5.163729856	-17.32788118	8.67E-55	5.55E-53	113.8416835
EFNA3	2.591425973	1.955399831	17.31987603	9.51E-55	6.07E-53	113.7496036
RASAL1	3.611317799	2.446529592	17.30058815	1.19E-54	7.55E-53	113.5278007
EXO1	3.095889402	2.480280385	17.28212731	1.47E-54	9.31E-53	113.3155846
RAI2	-2.394182124	3.23086192	-17.27909671	1.52E-54	9.60E-53	113.2807536
KCNT2	-3.131685037	0.558346517	-17.26323869	1.83E-54	1.15E-52	113.0985286
PNPLA6	-1.562527626	6.129026155	-17.25154508	2.09E-54	1.31E-52	112.9641924
DEPDC1B	3.127166488	2.17684358	17.24137261	2.35E-54	1.47E-52	112.8473557
FO681492.1	-3.436948698	-0.631397845	-17.23348115	2.58E-54	1.60E-52	112.7567334
IGSF9	3.152720208	4.072219311	17.21515055	3.19E-54	1.97E-52	112.5462859
SKA3	2.86945827	2.160092905	17.19213124	4.16E-54	2.56E-52	112.2821147
HPS5	-1.151212487	5.034072634	-17.16659642	5.58E-54	3.42E-52	111.989214
KIF18B	3.341282954	2.826688965	17.15975538	6.04E-54	3.68E-52	111.9107678
PLEKHN1	2.779581821	2.315346734	17.15354959	6.49E-54	3.94E-52	111.8396151
SBSPON	-2.992913299	1.53054635	-17.14267822	7.35E-54	4.45E-52	111.7149898
SNRK	-1.189165783	5.314908169	-17.12448797	9.07E-54	5.46E-52	111.5065235
LHFPL6	-1.777717618	4.831247967	-17.08195817	1.48E-53	8.88E-52	111.0194108
LGR4	2.495201079	5.661957104	17.07572062	1.59E-53	9.50E-52	110.948004
SEMA5A	-2.952576659	4.297615516	-17.07537049	1.60E-53	9.51E-52	110.943996
FRMD5	3.375470631	2.119526504	17.05008364	2.14E-53	1.27E-51	110.6546083
GTSE1	2.854145245	2.782974263	17.04980465	2.14E-53	1.27E-51	110.6514162
PPP1R15A	-1.811752058	6.405501022	-17.03997734	2.40E-53	1.41E-51	110.5389908
SGO1	2.846277117	1.557457467	17.01374562	3.24E-53	1.90E-51	110.2390061
SIRPB1	-3.199718391	2.093482515	-17.00570837	3.56E-53	2.08E-51	110.1471243
CNOT11	1.092445906	6.187436319	16.99947237	3.82E-53	2.22E-51	110.0758446
CLDN5	-3.022052051	4.366667596	-16.97554485	5.03E-53	2.92E-51	109.8024289
PEAK1	-1.71026437	5.580493134	-16.94594619	7.07E-53	4.08E-51	109.4643944
KIF17	-2.161803567	0.996069441	-16.94185048	7.41E-53	4.26E-51	109.4176351
RAD54L	2.844706349	1.970930305	16.93921697	7.63E-53	4.37E-51	109.3875713
MELK	3.206233825	3.160717203	16.93068135	8.42E-53	4.81E-51	109.2901409
JCAD	-2.192724652	5.483712864	-16.91737564	9.81E-53	5.58E-51	109.1382964
IQSEC3	-2.929559325	0.703574133	-16.91635168	9.92E-53	5.62E-51	109.1266127
CCNB2	2.744647189	3.676145824	16.91463637	1.01E-52	5.71E-51	109.107041
GPA33	-3.952857877	0.244885686	-16.90286683	1.16E-52	6.51E-51	108.9727695
ARC	-3.507622209	-0.116339106	-16.89044815	1.34E-52	7.48E-51	108.8311279
LAMP3	-3.400953609	6.349669671	-16.8823379	1.47E-52	8.18E-51	108.7386458
TROAP	3.311599305	2.901487504	16.88134419	1.48E-52	8.25E-51	108.7273155
DEPDC1	3.331720872	2.581122518	16.868741	1.71E-52	9.49E-51	108.583634
VIPR1	-3.338088319	3.776782077	-16.86421485	1.80E-52	9.96E-51	108.5320433
TMEM88	-2.274114672	0.983272271	-16.84749685	2.19E-52	1.20E-50	108.3415275
GRIK4	-2.757189434	-0.571650237	-16.84167066	2.34E-52	1.28E-50	108.2751488
PLPP3	-1.430261998	6.083029362	-16.83607018	2.49E-52	1.36E-50	108.2113492
WFS1	-1.826362548	5.925864763	-16.8350623	2.52E-52	1.37E-50	108.1998685
TRPV2	-2.008590923	4.644293146	-16.83357384	2.56E-52	1.39E-50	108.1829139
CEP55	2.933280414	3.825785946	16.79800635	3.85E-52	2.08E-50	107.7779332
NOTCH4	-1.864733161	4.566239144	-16.7974188	3.88E-52	2.09E-50	107.7712457
TPX2	3.22247737	4.963010949	16.77780167	4.85E-52	2.60E-50	107.548013
CAV2	-2.778527409	6.250640326	-16.76229617	5.79E-52	3.09E-50	107.3716344
CASKIN2	-1.643567394	5.209563222	-16.76225378	5.80E-52	3.09E-50	107.3711523
BIRC5	3.342832939	4.467180556	16.75798586	6.09E-52	3.23E-50	107.322614
TACC1	-1.987409153	6.691031231	-16.7534147	6.41E-52	3.39E-50	107.2706319
VEGFD	-4.792509648	1.369111813	-16.7447578	7.08E-52	3.73E-50	107.1722016
VSIR	-1.708350193	5.670492734	-16.73357529	8.05E-52	4.23E-50	107.0450818
LRRN3	-3.379976648	0.742213448	-16.7277209	8.60E-52	4.50E-50	106.9785428
GPX3	-2.665502876	7.434372298	-16.72626678	8.75E-52	4.56E-50	106.962017
CDCA3	2.782994393	2.822176294	16.72275763	9.11E-52	4.73E-50	106.9221386
NME1	2.102494945	5.564026389	16.71854999	9.55E-52	4.95E-50	106.8743262
NLN	1.39107319	5.119606061	16.70866695	1.07E-51	5.52E-50	106.7620401
TMEM204	-1.851219469	4.101106581	-16.70824379	1.07E-51	5.53E-50	106.7572329
PEAR1	-2.172483293	2.741602208	-16.68096775	1.47E-51	7.53E-50	106.4474633
ADARB1	-1.789901877	4.524813593	-16.66850165	1.69E-51	8.65E-50	106.3059488
AURKB	3.140740922	2.982383459	16.65278723	2.02E-51	1.03E-49	106.1276142
PPP1R14B	1.973123739	6.214635197	16.6416633	2.30E-51	1.17E-49	106.0014114
FOLR3	-3.685243765	-1.660989502	-16.63756745	2.41E-51	1.22E-49	105.9549511
FAM189A2	-3.479107916	3.265018186	-16.60942381	3.32E-51	1.67E-49	105.6358229
RRM2	2.967531317	4.988938215	16.59646362	3.85E-51	1.93E-49	105.4889302
RCAN1	-1.760798511	5.226610632	-16.57513313	4.91E-51	2.46E-49	105.2472589
GYPC	-1.921432318	4.221841545	-16.56155594	5.73E-51	2.86E-49	105.0934908
SULT1C4	-2.56936232	0.940082843	-16.55899117	5.90E-51	2.93E-49	105.0644486
LMCD1	-1.755501952	5.09723162	-16.53823071	7.47E-51	3.70E-49	104.8294296
KIF11	2.406919876	4.185664765	16.50936793	1.04E-50	5.13E-49	104.5028692
TCEAL2	-3.604230379	-0.668405271	-16.50742447	1.06E-50	5.22E-49	104.480888
ZWINT	2.371817248	4.449262428	16.50375499	1.11E-50	5.43E-49	104.4393876
