LUAD	FDR_LUAD	LUSC	FDR_LUSC
PTPRB	2.77E-137	EPAS1	1.27E-184
SLC6A4	2.65E-136	EMP2	2.09E-184
HBA2	6.75E-136	USHBP1	9.77E-183
SGCG	8.48E-136	LMO7	7.92E-182
GIMAP8	1.06E-135	HIGD1B	1.24E-180
TMEM100	1.78E-135	LOC158376	4.66E-180
CD101	2.16E-135	SOX17	6.71E-180
CLEC3B	3.08E-135	TNXB	3.04E-179
SGEF	2.54E-134	NOSTRIN	4.95E-179
SMAD6	2.67E-134	SEMA3G	9.46E-179
GPR146	6.73E-134	GPIHBP1	3.29E-177
GYPE	1.11E-133	CD34	3.96E-177
GRK5	8.71E-133	CCDC48	9.67E-177
LRRC32	1.14E-132	LRRC36	6.19E-176
JAM2	1.54E-131	HSPA12B	1.42E-175
VIPR1	6.88E-131	CD302	2.64E-175
ADRB2	1.60E-130	LYVE1	1.24E-174
C10orf67	1.60E-130	TNS1	5.58E-174
LYVE1	9.22E-130	FIGF	2.69E-173
ARHGEF15	1.01E-129	F8	4.34E-170
MYCT1	3.89E-128	TENC1	4.82E-170
FGD5	2.34E-127	FHL5	8.02E-170
CLEC14A	1.18E-126	GPR116	3.47E-169
CAV1	1.37E-125	VWF	4.97E-168
STARD13	6.43E-123	SNRK	5.04E-168
USHBP1	2.64E-122	PTPN21	2.68E-166
NECAB1	6.80E-122	A2M	4.43E-166
ANGPT4	9.16E-122	GRK5	1.38E-165
SOX7	8.63E-121	GGTLC1	2.89E-165
STARD8	2.76E-120	FCN3	4.62E-163
GRASP	3.12E-120	ADAMTS8	3.16E-161
CSRNP1	3.21E-120	GIMAP8	6.93E-161
GPIHBP1	1.48E-119	LIMS2	5.38E-158
CLEC1A	4.01E-119	PCDH12	1.68E-157
ERG	1.38E-118	ECSCR	1.87E-157
ARHGAP6	1.11E-117	PRG4	2.38E-157
C20orf160	9.06E-117	GPA33	6.70E-157
INMT	2.40E-116	GRRP1	1.54E-156
BTNL9	2.67E-116	GCOM1	5.01E-156
ECSCR	3.67E-115	AOC3	6.72E-154
GPM6A	6.39E-115	SPTBN1	2.56E-153
MMRN2	1.71E-114	CD93	2.69E-153
HBB	5.81E-114	JAM2	7.14E-153
THSD1	2.55E-113	DPYSL2	1.16E-152
SOX17	6.20E-113	SNX25	2.58E-152
KCNT2	2.10E-112	STARD8	2.76E-152
RSPO1	2.13E-112	GYPE	2.76E-152
GPD1	8.02E-112	CDCA5	5.90E-152
PYCR1	1.41E-111	KANK2	9.70E-152
PNPLA6	4.03E-111	VIPR1	3.26E-150
CLIC5	1.27E-110	KIF23	5.97E-150
PPP1R15A	1.52E-110	OVCH1	2.12E-149
C20orf202	1.83E-110	KIF4A	3.01E-149
CD300LG	1.14E-109	HYAL2	3.63E-149
CCDC141	2.23E-109	TIE1	1.43E-148
AOC3	3.60E-109	AK1	3.78E-148
CD93	7.56E-109	SNX30	3.06E-147
C14orf132	9.94E-109	NOVA2	5.38E-147
DENND3	1.29E-108	PRKCE	5.38E-147
RASIP1	2.39E-108	TGFBR2	2.56E-145
KANK2	3.74E-108	KIF2C	3.58E-144
ANGPTL7	9.34E-108	RSPO1	4.26E-144
EMCN	3.31E-107	PALM2-AKAP2	1.28E-143
SLC39A8	4.34E-107	C1QTNF7	1.31E-143
C19orf59	9.33E-106	LRRC32	1.98E-143
SPTBN1	5.97E-105	CXorf36	9.05E-143
KAL1	2.01E-104	EXO1	2.39E-142
PLAC9	9.63E-104	CASP12	7.09E-142
SGK269	1.34E-103	CAV3	8.90E-142
SASH1	1.89E-103	BCL6B	1.12E-141
LMO2	2.52E-103	CCNB2	1.32E-141
WNT3A	6.55E-103	TPX2	2.61E-141
RGS9	9.58E-103	SUSD2	3.44E-141
BMPR2	1.25E-102	NEK2	3.72E-140
HEG1	2.79E-102	LRP2BP	4.59E-140
C13orf36	2.90E-102	FAM189A2	5.16E-140
RXFP1	6.28E-102	KLF2	7.54E-140
CASKIN2	1.21E-101	HJURP	9.40E-140
CAT	1.43E-101	PLK1	1.73E-139
PDLIM2	2.40E-101	LIMD1	4.66E-139
JPH4	9.96E-101	UBE2C	9.78E-139
GLIPR2	3.34E-100	CACNA2D2	4.83E-138
CD5L	4.38E-100	KIAA1462	5.29E-138
TCF21	5.09E-100	AKAP2	9.80E-138
FEZ1	1.01E-99	SHE	1.92E-137
TNNC1	3.47E-99	FXYD1	2.15E-137
CCDC48	9.89E-99	CENPA	6.08E-137
PTRF	1.04E-98	TROAP	8.12E-137
TNS1	1.07E-98	OTC	1.57E-136
GRRP1	2.48E-98	KIF11	2.08E-136
ITLN1	3.57E-98	AGRP	3.28E-136
NCKAP5	1.38E-97	NCAPH	3.39E-136
LRRN3	4.57E-97	TTK	3.40E-136
SEMA6A	5.59E-97	RAD54L	6.89E-136
CLEC4M	1.01E-96	SCUBE1	1.95E-135
NMUR1	2.88E-96	TUBB1	8.98E-135
PKHD1L1	9.98E-96	HSPB6	1.12E-134
LTBP4	1.52E-95	ERG	4.24E-134
UPK3B	1.57E-95	ST6GALNAC6	9.33E-134
FAM189A2	2.16E-95	FOXF1	1.21E-133
FAM46B	5.12E-95	SYNE1	2.03E-133
SCN4B	6.50E-95	GPR133	2.54E-133
NOVA2	9.98E-95	WFS1	4.20E-133
ARC	1.22E-94	SGMS2	4.35E-133
HIGD1B	3.17E-94	SMAD6	1.03E-132
GIMAP6	5.33E-94	BUB1B	8.24E-132
ARHGAP31	7.35E-94	CDC20	1.01E-131
ADCY4	1.15E-93	TNNC1	2.91E-130
MYADM	1.68E-93	GDF10	9.76E-130
NDST1	3.14E-93	NLRC4	2.50E-129
OVCH1	3.56E-93	GP9	8.80E-129
TGFBR3	7.30E-93	GPX3	1.51E-128
HBEGF	1.14E-92	PLAC9	4.68E-128
MYOC	3.25E-92	TMEM100	1.12E-127
TMEM204	3.62E-92	ARHGAP31	2.62E-127
DPP6	4.74E-92	MYBL2	4.46E-127
FHL5	2.57E-91	C1orf198	1.54E-126
THBD	2.97E-91	TMEM88	1.91E-126
ADARB1	3.80E-91	ADCY4	4.86E-126
SNRK	4.77E-91	GPM6A	8.00E-126
CHRM1	5.50E-91	ENG	8.00E-126
ADAMTS8	5.65E-91	RHOJ	1.91E-125
RHOJ	2.23E-90	FZD4	1.95E-125
TACC1	3.57E-90	C11orf9	2.85E-125
CA4	1.38E-89	SCN7A	4.75E-125
NLRC4	2.97E-89	BIRC5	5.07E-125
KLF6	1.20E-88	ANKRD1	6.83E-125
TGM1	6.28E-88	CDC45	1.20E-123
WFS1	1.26E-87	PRC1	3.23E-123
RAI2	2.86E-87	CKAP2L	4.54E-123
SIRPB1	2.88E-87	LTA4H	5.03E-123
KIAA1462	7.02E-87	DEPDC1	6.41E-123
RCAN1	1.56E-86	ACOXL	7.01E-123
ANGPTL1	2.38E-86	C20orf202	2.51E-122
RS1	2.52E-86	STX11	8.08E-122
KCNAB1	9.46E-86	CLDN18	1.35E-121
ALAS2	9.69E-86	SKA3	1.65E-121
SERINC1	1.49E-85	VEPH1	1.68E-121
CLDN5	2.65E-85	CEACAM8	1.97E-121
FPR2	7.10E-85	DLGAP5	3.53E-121
CCDC85A	1.11E-84	CA4	4.45E-121
ADPRH	1.32E-84	ARHGAP6	7.09E-121
LAMP3	1.08E-83	GTSE1	1.32E-120
SH3GL3	1.63E-83	GINS1	1.92E-120
CSF3	2.08E-83	CDC6	2.12E-120
IL3RA	4.20E-83	ORC6L	3.04E-120
SESN1	8.01E-83	ABCA8	3.93E-120
NXPH3	1.56E-82	CD300LG	1.08E-119
HBA1	2.79E-82	ARRB1	3.23E-119
PDE5A	3.16E-82	FBLN5	3.27E-118
C16orf59	3.34E-82	RPS6KA2	4.49E-118
LMCD1	3.39E-82	GLIPR2	4.96E-118
C10orf54	3.86E-82	CDCA3	7.80E-118
NOTCH4	4.57E-82	LIMCH1	8.24E-118
SEMA5A	4.66E-82	IL3RA	4.88E-117
TIE1	5.58E-82	LPL	5.55E-117
CMTM2	1.02E-81	CEP55	6.59E-117
LHFP	4.03E-81	SLC46A2	7.91E-117
CELA2B	8.45E-81	SLC1A1	2.02E-116
LDLR	9.33E-81	SDPR	2.69E-116
SPN	1.11E-80	BUB1	3.64E-116
CGNL1	1.15E-80	NMUR1	4.00E-116
ST8SIA6	1.15E-80	FAM105A	4.15E-116
DPEP2	1.23E-80	KIF18B	1.01E-115
SYNM	1.91E-80	SFTA1P	1.63E-115
STX12	5.37E-80	ASPA	1.95E-115
DOCK4	7.31E-80	HBA2	3.53E-115
FXYD6	9.10E-80	CAT	4.01E-115
SCUBE1	9.23E-80	CGNL1	5.38E-115
GSTM5	1.33E-79	NCAPG	6.93E-115
EMR3	4.16E-79	CRY2	1.10E-114
TRPV2	1.10E-78	RBMS2	1.50E-114
QKI	1.69E-78	FAM162B	1.72E-114
F8	2.34E-78	SLC9A3R2	2.23E-114
NPR1	2.45E-78	ANLN	4.86E-114
MGAT3	2.86E-78	DRAM1	5.57E-114
ANKRD1	6.22E-78	RAD51	7.95E-114
MFAP4	7.52E-78	CCNB1	8.49E-114
MS4A7	2.95E-77	NUF2	9.21E-114
PHACTR2	5.94E-77	ACE	1.48E-113
ADAMTS1	6.49E-77	STIL	1.92E-113
UNC45B	1.51E-76	HYAL1	2.34E-113
CD36	1.84E-76	PKHD1L1	3.36E-113
VWF	1.96E-76	MCM10	1.07E-112
HYAL2	2.82E-76	SKA1	1.34E-112
SYT15	2.84E-76	CCNA2	2.60E-112
LOC401093	3.29E-76	AURKB	3.02E-112
ITLN2	3.49E-76	NUSAP1	3.55E-112
FGR	6.95E-76	MRC1	4.31E-112
FLI1	8.34E-76	GNG11	4.51E-112
ETV4	8.76E-76	SYT15	4.71E-112
TMEM88	5.01E-75	ESPL1	4.59E-111
GRIA1	5.87E-75	TNFSF13	6.79E-111
BCL6B	7.40E-75	CFD	6.87E-111
SYNPO	1.01E-74	GLDN	7.77E-111
AGTPBP1	1.59E-74	DES	7.77E-111
SLC25A25	2.94E-74	FGD5	8.29E-111
ABI3BP	3.48E-74	EPB41L5	8.68E-111
PEAR1	6.55E-74	KIFC1	1.28E-110
SPARCL1	7.72E-74	CDCA8	1.46E-110
PRAM1	9.72E-74	OIP5	1.57E-110
C6orf155	2.81E-73	SPN	1.82E-110
HBM	3.45E-73	KIF14	2.04E-110
TBX3	5.78E-73	RASGRP4	2.66E-110
TGFBR2	1.15E-72	SLC6A4	3.98E-110
CBX7	1.18E-72	POLQ	6.16E-110
CD34	1.28E-72	PDE1C	1.32E-109
FRMD3	1.38E-72	PDLIM2	1.74E-109
TSPAN18	1.52E-72	AURKA	1.77E-109
SLIT2	2.26E-72	GADD45B	2.58E-109
PPM1F	3.89E-72	CLDN5	8.59E-109
FXYD1	5.11E-72	CD97	1.05E-108
IQSEC3	7.76E-72	PRAM1	1.80E-108
GAB1	1.12E-71	C1orf135	2.91E-108
ZFP106	1.21E-71	SLFNL1	4.12E-108
PALMD	1.37E-71	MFAP4	4.12E-108
COX4I2	1.37E-71	ZWINT	5.25E-108
CDO1	1.96E-71	SELENBP1	5.30E-108
HPS5	1.97E-71	SGK269	7.43E-108
ALDH18A1	2.41E-71	ADH1B	4.02E-107
PPAP2B	2.95E-71	ERCC6L	4.58E-107
EPB42	9.79E-71	ATOH8	8.92E-107
DES	1.01E-70	C20orf160	1.22E-106
PTPRQ	1.48E-70	CCRL1	1.47E-106
FAM124B	1.52E-70	AHCYL2	5.26E-106
PLCL1	1.79E-70	HBB	6.67E-106
FIGF	1.83E-70	CALCRL	1.10E-105
FERMT2	2.48E-70	MCM4	1.91E-105
CD52	3.06E-70	NDC80	3.04E-105
LRRC2	3.64E-70	ORC1L	3.43E-105
ASPA	3.97E-70	TRIP13	3.65E-105
OLR1	4.20E-70	GPBAR1	4.13E-105
GYPC	5.96E-70	CD101	4.36E-105
TUBB1	6.74E-70	FOXM1	6.26E-105
OR6K3	7.00E-70	LOC100302650	9.59E-105
SELP	7.14E-70	TOP2A	1.21E-104
SLC19A3	7.98E-70	MCM2	1.48E-104
TOP2A	8.06E-70	DEPDC1B	1.62E-104
DNASE1L3	1.32E-69	UBE2T	1.74E-104
CASP12	1.52E-69	LOXHD1	3.58E-104
STXBP6	1.62E-69	CDCA2	4.17E-104
C9orf140	2.81E-69	PHACTR1	4.66E-104
LGI3	3.12E-69	COX4I2	5.20E-104
OSCAR	4.12E-69	SHROOM4	5.62E-104
ERVFRDE1	4.61E-69	LRRN3	1.67E-103
IQGAP3	4.78E-69	ALDH3B1	2.52E-103
CAV2	5.56E-69	CDK1	3.83E-103
FAM83A	6.01E-69	FRMD3	4.04E-103
KCNA4	6.41E-69	HECW2	5.79E-103
GOLM1	8.51E-69	HELLS	7.97E-103
UBE2T	9.87E-69	KIF20A	2.14E-102
MYL9	1.22E-68	SGOL1	2.47E-102
AMOTL1	2.01E-68	NOTCH4	2.55E-102
ANO2	3.27E-68	CDT1	2.93E-102
CORO2B	4.52E-68	SCARF1	4.83E-102
ACTN2	4.84E-68	PGM5	5.33E-102
SRPK1	5.22E-68	RETN	7.45E-102
PI16	7.20E-68	CDC25C	7.56E-102
C14orf139	7.48E-68	ASPM	1.61E-101
PRKG2	1.07E-67	SPC25	1.82E-101
SIGLEC11	1.15E-67	CCDC85A	1.82E-101
HTR3C	1.44E-67	PTPRM	3.41E-101
MARCO	1.54E-67	PKMYT1	4.30E-101
HSPB2	1.74E-67	C16orf59	5.20E-101
GRIK4	2.05E-67	CENPF	1.40E-100
DKK2	2.14E-67	EXOC3L	1.72E-100
RNF144B	2.62E-67	DPEP2	6.65E-100
FAM162B	3.24E-67	APOLD1	6.89E-100
C2orf71	3.27E-67	UHRF1	9.91E-100
CXorf36	3.27E-67	PDK4	1.06E-99
JDP2	3.64E-67	C15orf42	2.84E-99
MSRB3	4.01E-67	ALAS2	3.06E-99
FAM150B	5.44E-67	EPR1	3.06E-99
KIF17	6.66E-67	CYBRD1	5.24E-99
SLC4A1	8.06E-67	MELK	6.88E-99
TNXB	9.75E-67	DOCK4	7.72E-99
APOLD1	1.58E-66	FANCI	8.36E-99
GIMAP5	1.59E-66	SASH1	1.12E-98
PKNOX2	4.68E-66	RAPGEF2	1.43E-98
C17orf91	4.76E-66	CAV1	1.97E-98
RASGRP4	4.87E-66	C5orf4	2.08E-98
SFTPC	4.92E-66	KDR	2.16E-98
SSTR4	5.62E-66	RASL12	3.51E-98
AFAP1L1	6.22E-66	TFAP2A	3.71E-98
ABCA8	6.72E-66	SLC2A1	7.61E-98
ST6GALNAC6	7.52E-66	CDC25A	7.87E-98
KIF4A	3.15E-65	ASAH1	1.01E-97
ADM2	4.13E-65	CHEK1	1.14E-97
INPP5K	4.43E-65	CD55	1.19E-97
GLDN	6.90E-65	CENPI	1.52E-97
METTL7A	1.09E-64	ARHGAP11A	1.82E-97
PCDH12	1.19E-64	C17orf53	1.96E-97
PPP1R14B	1.26E-64	CNTN6	2.42E-97
GDF10	1.46E-64	ANGPTL1	2.55E-97
CMTM5	1.65E-64	RRM2	3.27E-97
EPM2A	1.81E-64	PHACTR2	4.54E-97
PTPN5	2.60E-64	KIAA1524	1.49E-96
E2F8	3.00E-64	OSCAR	1.73E-96
SFXN1	4.06E-64	SORBS1	2.52E-96
ITPRIP	4.61E-64	MAD2L1	6.11E-96
HBG1	5.75E-64	CASS4	7.14E-96
IGSF10	5.99E-64	KL	2.41E-95
CFP	7.65E-64	CCDC141	2.72E-95
KIF20A	9.24E-64	E2F7	3.06E-95
KLF4	9.28E-64	ITLN2	4.25E-95
UHRF1	9.38E-64	RNASE4	6.42E-95
ITM2A	1.04E-63	SVEP1	6.54E-95
N4BP1	1.25E-63	TRPV2	8.18E-95
EFNA4	1.25E-63	PTTG1	9.96E-95
C13orf1	1.81E-63	FLT4	1.13E-94
GNAQ	2.12E-63	KCNT2	1.90E-94
ADRB1	2.16E-63	CYYR1	2.25E-94
MASP1	2.39E-63	CALCOCO1	3.21E-94
RASGEF1B	2.45E-63	SERINC1	4.04E-94
C1orf162	2.46E-63	RICH2	5.99E-94
KIAA0040	3.99E-63	CXCL2	6.67E-94
KLF9	4.61E-63	KIF15	8.61E-94
RECK	4.73E-63	FAM64A	9.97E-94
PAICS	4.96E-63	GNAQ	1.61E-93
SYNPO2L	7.52E-63	TAPT1	1.69E-93
TUBB3	9.93E-63	C6orf174	2.40E-93
CDC25C	1.00E-62	PKNOX2	3.99E-93
TBX2	1.03E-62	ATP11A	4.67E-93
DLGAP5	1.21E-62	SPAG5	5.37E-93
C7orf58	1.25E-62	RACGAP1	9.14E-93
TOM1L2	1.95E-62	MYOCD	2.54E-92
KIAA1324L	2.80E-62	AATK	2.55E-92
COX7A1	2.88E-62	TAL1	2.66E-92
B3GNT3	3.43E-62	EME1	3.74E-92
C20orf194	3.60E-62	RAD54B	4.14E-92
NUF2	3.92E-62	C1orf162	4.56E-92
SH2D4B	4.17E-62	OGN	5.01E-92
GIMAP7	4.31E-62	GRIA1	5.63E-92
BUB1B	6.48E-62	MAP3K3	6.57E-92
ADAMTSL3	6.85E-62	MARCO	8.77E-92
KIF1C	8.05E-62	FAM83B	1.13E-91
NEK2	8.51E-62	TNFSF12	1.49E-91
DACH1	8.61E-62	TK1	2.10E-91
SPAG5	1.03E-61	MMRN1	2.66E-91
KIF2C	1.10E-61	MMRN2	2.78E-91
RPL13AP17	1.59E-61	GIMAP6	2.87E-91
CXCR2	1.71E-61	ZBTB16	4.06E-91
ESAM	1.99E-61	PDE2A	4.08E-91
COL6A6	2.09E-61	ALOX5	4.55E-91
MSR1	2.29E-61	RECQL4	5.62E-91
RCC1	2.38E-61	MUSTN1	7.27E-91
PLEKHN1	2.42E-61	CX3CR1	2.65E-90
OTC	2.50E-61	IQGAP3	2.83E-90
TMEM177	3.04E-61	HMGA1	3.62E-90
CDC6	6.92E-61	GPR4	5.39E-90
TMEM184A	6.92E-61	PEAR1	9.44E-90
LRP2BP	6.99E-61	XRCC2	9.87E-90
SPAG4	1.00E-60	RAI2	1.14E-89
MEF2A	1.28E-60	MT1M	3.50E-89
MFNG	1.31E-60	GPR120	4.45E-89
LY6G6F	1.55E-60	PNPLA6	4.56E-89
RECQL4	1.75E-60	CCL14	4.75E-89
PHACTR1	2.08E-60	MOSC2	5.72E-89
VSIG4	2.39E-60	PBK	7.89E-89
CDC20	2.41E-60	CCNF	1.01E-88
AHNAK	2.46E-60	LHFP	1.97E-88
SYNPO2	3.13E-60	WISP2	2.08E-88
ANGPT1	3.22E-60	UBL3	3.00E-88
PPAT	4.80E-60	PLA2G1B	4.14E-88
C5AR1	5.61E-60	TBX4	5.02E-88
HJURP	7.05E-60	F11	5.33E-88
CDCA8	7.76E-60	ASF1B	6.45E-88
MYH2	7.97E-60	FBP1	7.75E-88
MAMDC2	9.64E-60	HSD17B4	8.02E-88
ERCC6L	1.12E-59	DENND2A	9.70E-88
SLC14A1	1.23E-59	PYGM	1.02E-87
RAD54L	1.84E-59	CYP4B1	1.51E-87
CALCOCO1	2.28E-59	TMEM204	1.88E-87
ASPM	2.37E-59	ITGA8	2.39E-87
RILPL2	3.40E-59	ICAM2	4.44E-87
STIL	4.77E-59	C1orf116	5.35E-87
KIF14	4.82E-59	SLC27A3	6.43E-87
FAM82A2	4.90E-59	ALOX5AP	6.79E-87
RBMS2	5.11E-59	PLK4	8.05E-87
ODF3L1	5.88E-59	UTRN	1.10E-86
KLF13	5.98E-59	MS4A7	1.11E-86
MMP19	7.13E-59	ESCO2	1.46E-86
DEPDC1B	1.20E-58	HPCAL1	2.20E-86
PAPSS1	1.33E-58	CENPE	2.25E-86
GIMAP1	1.90E-58	NCKAP5	2.41E-86
ADH1B	2.15E-58	COL4A3	2.92E-86
ENG	2.18E-58	SLC11A1	3.00E-86
LGI4	2.59E-58	CXCL16	3.88E-86
PAFAH1B3	2.92E-58	MND1	8.41E-86
04-Sep	3.15E-58	CASC5	1.11E-85
BCHE	3.63E-58	CITED2	4.02E-85
PLK1	3.73E-58	DISP1	5.23E-85
EMR1	3.77E-58	RARA	5.29E-85
HSPC159	3.85E-58	FAM13C	7.84E-85
ACP5	3.87E-58	BTNL8	1.06E-84
ORC6L	3.94E-58	GATA6	2.33E-84
MMRN1	3.95E-58	SFTPC	2.49E-84
CD300C	4.57E-58	SLC5A9	2.76E-84
CASQ2	4.60E-58	HBA1	3.54E-84
ANLN	5.45E-58	KPNA2	4.43E-84
MELK	7.47E-58	LAMP3	4.52E-84
EZH2	8.53E-58	RFC4	5.22E-84
DCC	9.09E-58	SCARA5	5.55E-84
ACADL	9.30E-58	CCL23	6.53E-84
GADD45B	9.36E-58	WDHD1	7.29E-84
UTRN	1.27E-57	CD52	8.47E-84
GATA2	1.29E-57	MAGI3	8.83E-84
LOH3CR2A	1.29E-57	RHOBTB2	9.56E-84
SELE	1.45E-57	PREX2	1.91E-83
CXCL2	1.51E-57	FRY	1.94E-83
CCL14	1.57E-57	EZH2	2.09E-83
RAPGEF4	2.52E-57	LOC149620	2.32E-83
S1PR4	5.81E-57	STARD13	3.46E-83
LGR4	7.23E-57	ZWILCH	6.80E-83
LATS2	8.26E-57	C4orf31	8.57E-83
LRRC36	8.32E-57	LRRK2	9.72E-83
BIRC5	8.66E-57	BRIP1	1.22E-82
HSPB8	1.35E-56	RNASE1	1.42E-82
LOXHD1	1.36E-56	FAM167B	1.98E-82
EXO1	1.39E-56	LDB3	2.52E-82
DLC1	1.41E-56	DAPK2	3.02E-82
HSPB6	1.55E-56	FOSB	3.16E-82
FRMD4A	1.69E-56	FAM72B	3.38E-82
DOK2	1.85E-56	ECT2	3.99E-82
CEP55	1.92E-56	CELA2B	4.22E-82
JUND	2.06E-56	CD300C	4.28E-82
CNTN6	2.87E-56	SPRY4	5.96E-82
DAPK2	3.42E-56	LRRN4	6.83E-82
GINS1	3.71E-56	LOC572558	8.54E-82
NME1	3.92E-56	TIMELESS	1.16E-81
WFIKKN2	4.05E-56	ABCC6	2.08E-81
ALOX5	4.40E-56	FAM82A2	3.30E-81
TPX2	4.86E-56	FCN1	5.45E-81
LPHN2	5.00E-56	CFL2	5.97E-81
MEX3A	5.28E-56	FGFR4	8.35E-81
CENPF	5.52E-56	HPGDS	9.69E-81
CBLC	5.59E-56	ITGA10	9.93E-81
C10orf116	5.83E-56	CHRDL1	1.06E-80
GAS6	5.92E-56	FGR	1.54E-80
KIF26B	5.92E-56	MYRIP	1.60E-80
TROAP	6.44E-56	CDCA4	1.75E-80
TBX4	6.57E-56	NR5A2	1.83E-80
CCNB1	7.50E-56	SH3BP5	1.86E-80
SLC11A1	7.63E-56	RAD51AP1	2.02E-80
SLC25A10	9.35E-56	KNTC1	4.34E-80
CDCA3	9.52E-56	BLM	4.45E-80
ARAP3	9.57E-56	GPD1L	4.58E-80
MND1	1.06E-55	GINS2	4.74E-80
CD83	1.07E-55	RXFP2	5.69E-80
SULT1C4	1.09E-55	C9orf140	7.80E-80
CDC45	2.25E-55	NEIL3	8.57E-80
DNAH14	2.33E-55	C5AR1	1.38E-79
CTHRC1	2.44E-55	GKN2	1.41E-79
C1orf112	2.62E-55	AKAP13	1.41E-79
ABCG2	2.92E-55	CPAMD8	1.87E-79
ST6GALNAC5	2.93E-55	SIDT2	2.20E-79
AMICA1	3.20E-55	AMICA1	2.61E-79
ZWINT	3.68E-55	FLI1	2.84E-79
FAM167B	4.08E-55	FEN1	3.11E-79
FAM13C	4.90E-55	ABI3BP	3.38E-79
DIXDC1	5.72E-55	SLC19A3	4.11E-79
DEPDC1	6.12E-55	ELTD1	5.12E-79
MYO19	6.72E-55	ZNF366	6.27E-79
GPX3	7.07E-55	ZFP36	8.33E-79
MSTO1	8.45E-55	CELF2	1.09E-78
OSBPL11	8.99E-55	UCK2	1.11E-78
ACE	1.23E-54	PSAT1	1.13E-78
KIAA1683	1.37E-54	C12orf69	1.68E-78
ATIC	1.37E-54	PVRL1	1.70E-78
ZEB1	1.66E-54	SIRPB1	2.64E-78
KIF11	1.66E-54	LEPR	3.15E-78
EFNA3	1.67E-54	STX12	3.80E-78
ARL13B	2.88E-54	PDE1B	6.40E-78
SKA3	3.04E-54	ABCA9	6.62E-78
KIF18B	3.91E-54	ATAD2	8.71E-78
TMEM47	4.30E-54	KLF9	1.40E-77
OCIAD2	4.55E-54	CASKIN2	2.23E-77
VAMP2	4.78E-54	ABCA3	2.93E-77
C16orf88	5.61E-54	ADRB1	3.32E-77
MFAP3L	5.91E-54	IFT57	4.39E-77
GP9	5.95E-54	E2F8	4.42E-77
A2M	6.66E-54	DENND3	6.01E-77
SNX1	6.80E-54	LTC4S	6.71E-77
KCNA5	8.09E-54	LMOD1	6.79E-77
SHANK3	8.46E-54	SIRPD	9.32E-77
CCNB2	8.73E-54	KIAA0101	1.19E-76
MAP3K3	1.60E-53	DLL4	1.29E-76
PCDH17	2.13E-53	VSIG4	1.82E-76
TIMP3	2.44E-53	KCNAB1	2.06E-76
CNRIP1	2.53E-53	SHCBP1	2.12E-76
PRKCH	3.02E-53	WFDC1	2.16E-76
HMMR	3.02E-53	CDKN3	2.91E-76
UBE2C	3.05E-53	DOK2	3.48E-76
DPYSL2	3.20E-53	CENPM	3.94E-76
MTMR10	3.68E-53	C1QTNF2	4.08E-76
ADH1A	4.13E-53	ANGPTL5	6.69E-76
MRC1	4.20E-53	NR4A1	1.23E-75
CFD	4.43E-53	MKI67	1.26E-75
CCRL1	4.58E-53	COLEC12	1.28E-75
GTSE1	4.95E-53	ADRB2	1.48E-75
SPTBN2	5.21E-53	OLR1	1.58E-75
FERMT1	5.29E-53	MTBP	1.64E-75
