Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
RRP1B,0.535462873,4.784538709,7.544794647,2.21E-12,7.87E-12,16.74797067
XPO6,0.436772543,5.459457645,7.538437038,2.30E-12,8.16E-12,16.52645622
GNL2,0.509659088,5.118649402,7.536642674,2.32E-12,8.24E-12,16.53604453
CCAR1,0.553153029,5.089105281,7.532747316,2.38E-12,8.42E-12,16.52015265
RPS2,0.667879223,9.790744208,7.532676613,2.38E-12,8.42E-12,16.69352667
DUSP12,0.524550005,4.820049597,7.532460332,2.38E-12,8.43E-12,16.65000498
CEACAM5,3.144141856,5.922393398,7.528446737,2.44E-12,8.61E-12,16.47021178
TRIM47,0.835303196,5.090612741,7.528252303,2.44E-12,8.62E-12,16.49396375
ODR4,0.617461511,4.951524266,7.528169014,2.44E-12,8.62E-12,16.54366908
MRPL47,0.584724123,6.072538133,7.526440745,2.46E-12,8.70E-12,16.46248073
MRPL51,0.584710936,7.252226331,7.526048534,2.47E-12,8.71E-12,16.51226734
LMNB2,0.853194155,5.207769922,7.525681961,2.48E-12,8.73E-12,16.46088418
MOGS,0.477479874,5.996381903,7.524738378,2.49E-12,8.77E-12,16.45074754
COPB1,0.433330568,6.615205759,7.522062395,2.53E-12,8.90E-12,16.45446012
IGKJ1,1.931696011,6.089148019,7.521707309,2.53E-12,8.91E-12,16.43572455
APEX2,0.44054337,5.01620517,7.520923403,2.54E-12,8.95E-12,16.47422891
RER1,0.424695725,5.816755562,7.512382204,2.67E-12,9.39E-12,16.37613328
SLC39A6,0.775433409,6.074600093,7.506479812,2.77E-12,9.70E-12,16.34798572
ZNF622,0.487481124,6.077086592,7.488310077,3.07E-12,1.08E-11,16.24391813
RITA1,0.557574518,4.788717013,7.486790927,3.10E-12,1.08E-11,16.41197905
IGLV3-21,2.40800689,8.000762485,7.484642748,3.14E-12,1.10E-11,16.32249397
SLC39A4,0.974535293,4.471713958,7.477960975,3.26E-12,1.14E-11,16.64710436
TMEM165,0.58754777,5.803556863,7.476376006,3.29E-12,1.15E-11,16.16966224
NCAPD2,0.900551688,5.165587446,7.474275688,3.34E-12,1.16E-11,16.17103442
GPX8,1.072641458,4.238306472,7.46752846,3.47E-12,1.21E-11,16.78453349
IGKV3D-15,1.981974222,3.9569522,7.466419358,3.49E-12,1.21E-11,16.96952443
POLR2J,0.602638814,6.102700789,7.463666304,3.55E-12,1.23E-11,16.10354022
TFAM,0.491945145,4.831259463,7.463316531,3.55E-12,1.23E-11,16.24561395
H4C9,0.988228429,4.456252871,7.462227603,3.58E-12,1.24E-11,16.57124642
IGHG3,2.249736228,8.056492471,7.461626889,3.59E-12,1.25E-11,16.19395459
PEX13,0.43503361,4.746461838,7.460534547,3.61E-12,1.25E-11,16.29619555
IGKV3D-11,1.848666415,3.780199912,7.447544115,3.89E-12,1.35E-11,16.95881099
SNRPA,0.500604673,5.698114169,7.447498906,3.89E-12,1.35E-11,16.00417904
IGKJ5,2.186991189,3.868009485,7.446864945,3.91E-12,1.35E-11,16.90911437
SF3B3,0.50338718,5.370956596,7.434310888,4.20E-12,1.45E-11,15.93092854
CCT2,0.85924594,6.714269859,7.433530009,4.22E-12,1.46E-11,15.95255477
SLC20A1,0.771773974,5.262801222,7.426577674,4.39E-12,1.51E-11,15.88996622
SPINK1,3.400819145,4.335005517,7.423864912,4.46E-12,1.53E-11,16.45824664
CYCS,0.644807692,6.05311966,7.421493533,4.53E-12,1.55E-11,15.86151461
OST4,0.580515085,8.576203979,7.421096032,4.54E-12,1.56E-11,15.98905283
CBFB,0.409323149,5.412042931,7.417629988,4.63E-12,1.59E-11,15.83537886
HDLBP,0.516352737,7.403108567,7.404196867,5.00E-12,1.71E-11,15.82506381
TFDP1,0.54065272,5.928935114,7.403885541,5.01E-12,1.71E-11,15.75806357
RHOD,0.96944899,5.579142615,7.395676201,5.25E-12,1.79E-11,15.70935893
MCCC2,0.571955639,5.251777057,7.378965213,5.78E-12,1.97E-11,15.61950839
SLC16A3,1.090790028,5.166707057,7.372719736,5.99E-12,2.04E-11,15.59189315
OXLD1,0.683175086,5.130212823,7.367153021,6.19E-12,2.10E-11,15.5658202
SUMO2,0.449576552,6.992961698,7.362407497,6.36E-12,2.15E-11,15.56278573
PTMA,0.47752689,9.267236186,7.355989976,6.60E-12,2.23E-11,15.65582569
GAR1,0.545025374,4.899596569,7.343063843,7.11E-12,2.40E-11,15.51596048
SNRPD2,0.727941637,7.831140412,7.325361847,7.87E-12,2.65E-11,15.40565723
CLK2,0.646280583,4.971567374,7.324997914,7.88E-12,2.66E-11,15.37564243
TXNDC9,0.522059871,5.027793033,7.32484238,7.89E-12,2.66E-11,15.35246894
GTF2E2,0.512755568,5.113164316,7.311065948,8.54E-12,2.87E-11,15.25106245
SEPHS2,0.681404638,7.012349124,7.309286122,8.63E-12,2.90E-11,15.26295826
PLOD2,1.444181563,4.844580713,7.307011463,8.74E-12,2.93E-11,15.34766055
GALE,0.765142245,5.556134091,7.303249633,8.93E-12,3.00E-11,15.18535784
AAGAB,0.484302771,5.266822933,7.298975435,9.15E-12,3.07E-11,15.16544479
TMEM214,0.44569505,6.318950452,7.296457579,9.29E-12,3.11E-11,15.1585448
DLG3,0.60959668,4.564997105,7.292144807,9.52E-12,3.18E-11,15.50530173
USP21,0.57771039,4.669934919,7.288541088,9.72E-12,3.24E-11,15.38709157
MRPL45,0.550914726,6.111572236,7.287456177,9.78E-12,3.26E-11,15.10260514
ACBD3,0.452844461,6.210260969,7.280394455,1.02E-11,3.39E-11,15.06511414
ACP1,0.467729002,5.974074941,7.277405521,1.04E-11,3.44E-11,15.04237295
ERH,0.543388181,7.673564163,7.264900741,1.11E-11,3.69E-11,15.05400186
IGKV3-20,2.220407279,9.414295966,7.264779426,1.11E-11,3.69E-11,15.14859489
PAEP,2.979567109,3.082243621,7.263205991,1.12E-11,3.72E-11,16.14643422
RCN1,0.650805532,4.964982794,7.262970317,1.12E-11,3.72E-11,15.02843638
BSPRY,0.751083759,5.240044958,7.261228732,1.14E-11,3.76E-11,14.9539375
PMAIP1,1.289755899,4.276120079,7.260134357,1.14E-11,3.78E-11,15.58058729
TSPAN17,0.544544547,5.118538889,7.258024877,1.16E-11,3.82E-11,14.95068063
GOLT1B,0.701354545,5.687789768,7.254985183,1.18E-11,3.89E-11,14.91233181
FKBP10,1.395315255,5.879999928,7.248676159,1.22E-11,4.03E-11,14.87833283
UBE2Z,0.392404374,6.235882287,7.247723944,1.23E-11,4.05E-11,14.88162416
ENTPD6,0.543433592,5.048984801,7.246823481,1.23E-11,4.06E-11,14.9052098
TPD52L2,0.405475054,6.609025626,7.235551385,1.31E-11,4.33E-11,14.82606023
CHMP4B,0.418818715,8.533022459,7.234777529,1.32E-11,4.34E-11,14.9322536
IGHV1-69D,2.315874103,6.398801043,7.227803607,1.37E-11,4.51E-11,14.77412454
H2BC12,1.053098228,7.030836933,7.227198442,1.38E-11,4.52E-11,14.80131501
PRPF40A,0.421514441,5.273070136,7.21790281,1.45E-11,4.76E-11,14.70847414
GBA,0.546274064,5.71066775,7.217848327,1.45E-11,4.76E-11,14.7034541
ADAR,0.5351285,7.15094375,7.203648584,1.58E-11,5.16E-11,14.67611295
FAF2,0.396835893,5.493765421,7.19261798,1.68E-11,5.48E-11,14.56300796
SLC27A4,0.540993051,5.160559579,7.189377571,1.71E-11,5.58E-11,14.5582786
TUBB,0.692042534,8.839745027,7.186914129,1.73E-11,5.65E-11,14.67940339
KRTCAP3,1.135214141,6.117630097,7.178505565,1.82E-11,5.93E-11,14.49022345
AK2,0.505577391,5.527153861,7.165104583,1.96E-11,6.38E-11,14.40878543
UBL4A,0.549112221,6.183389784,7.155168721,2.08E-11,6.74E-11,14.36125901
COMP,2.071132576,3.72857417,7.151552894,2.12E-11,6.88E-11,15.32365864
IGLC2,2.069931066,9.943503657,7.147312398,2.17E-11,7.04E-11,14.51894747
POLR2B,0.439066812,5.638529634,7.144544477,2.20E-11,7.14E-11,14.29318254
NDUFS8,0.610888997,5.503468505,7.143342112,2.22E-11,7.19E-11,14.28729267
FBL,0.581376752,7.166652644,7.143283014,2.22E-11,7.19E-11,14.33923091
C1GALT1C1,0.449502903,5.801054691,7.133690854,2.34E-11,7.58E-11,14.23274787
SMARCC1,0.545134329,5.695978608,7.131743155,2.37E-11,7.65E-11,14.22151501
RAD23B,0.39834875,7.007086141,7.124976537,2.46E-11,7.95E-11,14.22778152
IGHV4-34,2.188185387,6.737791475,7.12091922,2.52E-11,8.13E-11,14.19054765
YRDC,0.47629922,5.067841188,7.112214263,2.65E-11,8.53E-11,14.14598452
ZDHHC4,0.493714377,4.929769685,7.107350743,2.72E-11,8.75E-11,14.17479464
STAP2,0.771418671,4.896853006,7.107175622,2.72E-11,8.76E-11,14.19248074
TAF12,0.42696077,4.983146082,7.106413077,2.74E-11,8.78E-11,14.14326472
PRELID1,0.566370245,5.011550981,7.105843069,2.74E-11,8.81E-11,14.12869569
IGKV1OR2-108,1.796471732,3.824104132,7.101440653,2.81E-11,9.02E-11,14.99677211
EIF1AD,0.394655369,4.847870308,7.098658684,2.86E-11,9.16E-11,14.17699432
RAB1A,0.304329498,7.572041351,7.095843985,2.90E-11,9.30E-11,14.10070936
IGLV2-14,2.162576664,8.646595837,7.089587173,3.01E-11,9.62E-11,14.12631903
SNRPF,0.632859446,5.195896173,7.087366175,3.05E-11,9.74E-11,13.9845882
AATF,0.481138515,5.419202562,7.086639146,3.06E-11,9.77E-11,13.97188605
MRPS18A,0.50275525,4.75912165,7.079524813,3.18E-11,1.02E-10,14.13868041
NT5C3B,0.635748033,5.447440877,7.078568965,3.20E-11,1.02E-10,13.9268319
NUP205,0.630500177,4.814989204,7.071852835,3.32E-11,1.06E-10,14.05203154
LMAN1,0.589040801,6.620384525,7.070483357,3.35E-11,1.07E-10,13.90426095
PUF60,0.548763759,6.526284825,7.066911583,3.42E-11,1.09E-10,13.88027421
NDUFAB1,0.5167824,6.536718947,7.06533188,3.45E-11,1.10E-10,13.87194433
FTSJ3,0.480447754,5.27273198,7.060619416,3.54E-11,1.13E-10,13.83056728
RPL7L1,0.464544371,5.487250384,7.059674673,3.56E-11,1.13E-10,13.82173062
IGLV3-19,2.35873048,8.213525101,7.059234056,3.57E-11,1.13E-10,13.93606505
FOXA1,1.071915341,5.276703226,7.056953378,3.61E-11,1.15E-10,13.81005609
MTERF3,0.548759307,4.832614027,7.054451594,3.67E-11,1.16E-10,13.94241647
IGKV1-39,1.930905502,3.873680907,7.054009797,3.67E-11,1.16E-10,14.7072322
PSMC6,0.538778836,4.945323906,7.050692237,3.74E-11,1.18E-10,13.85181853
TTLL12,0.740889626,5.054890776,7.048828954,3.78E-11,1.19E-10,13.79757361
KIAA1522,0.662011537,6.40912457,7.046766123,3.83E-11,1.21E-10,13.76413494
RCN3,1.257670755,5.456562248,7.04660298,3.83E-11,1.21E-10,13.7494196
IGKV1D-39,1.908894899,4.067542964,7.037339122,4.04E-11,1.27E-10,14.49421766
FASTK,0.559166878,5.644503557,7.030191678,4.20E-11,1.32E-10,13.65744262
IGHV1-18,2.269298996,7.793545281,7.027388397,4.27E-11,1.34E-10,13.73563879
TAF9,0.492291668,5.38542104,7.023940793,4.35E-11,1.37E-10,13.6245326
FAM222B,0.596999556,4.550183467,7.013823178,4.61E-11,1.44E-10,13.96578684
SPINT2,0.708957427,6.115472853,7.000404997,4.96E-11,1.55E-10,13.4999393
NDUFB4,0.552479214,6.989516561,7.000384739,4.97E-11,1.55E-10,13.53556451
MRPL11,0.548606862,5.609905916,6.978474758,5.61E-11,1.74E-10,13.3720518
ECHS1,0.475707038,8.077913192,6.977890941,5.63E-11,1.75E-10,13.47924193
IGKV1-5,2.171084674,8.603754841,6.977731277,5.64E-11,1.75E-10,13.5051461
TIMM17B,0.681126311,5.42160485,6.971198459,5.85E-11,1.81E-10,13.33310283
GANAB,0.437779417,8.177315937,6.968912021,5.92E-11,1.83E-10,13.4351146
IGLV3-9,2.314392151,5.019839787,6.963042135,6.12E-11,1.89E-10,13.33530503
HIF1A,0.765831786,6.918991743,6.963014454,6.12E-11,1.89E-10,13.32561978
PPP1CA,0.450594941,6.969498684,6.951111421,6.54E-11,2.02E-10,13.26298007
XYLT2,0.573370294,4.619964228,6.948493074,6.64E-11,2.05E-10,13.54004647
PRUNE1,0.505277991,5.338576511,6.947888103,6.66E-11,2.05E-10,13.20585633
PABPC4,0.434328579,5.306558417,6.947171908,6.69E-11,2.06E-10,13.20279934
LOXL2,1.356988163,4.123878687,6.938768724,7.01E-11,2.16E-10,13.91325713
MXRA5,1.413236636,4.783924837,6.937336409,7.06E-11,2.17E-10,13.33342014
ADAM15,0.779910704,6.445493847,6.935125488,7.15E-11,2.20E-10,13.14957406
R3HDM4,0.514317165,6.366939354,6.931591483,7.29E-11,2.24E-10,13.12754289
FIBP,0.374254053,5.609794118,6.931549945,7.29E-11,2.24E-10,13.1139622
ARPC1A,0.53398869,4.981175446,6.929313232,7.39E-11,2.27E-10,13.16520441
BTF3L4,0.470245645,4.913716768,6.928969696,7.40E-11,2.27E-10,13.19771811
TSN,0.471975939,6.050984837,6.928035889,7.44E-11,2.28E-10,13.09996678
IGLV3-1,2.294119875,8.603078991,6.928026953,7.44E-11,2.28E-10,13.23185625
IMPDH2,0.548700098,6.169693863,6.927432227,7.46E-11,2.28E-10,13.09960205
AARS1,0.494150449,5.612357262,6.919126371,7.82E-11,2.39E-10,13.04578283
S100A2,1.936968147,4.410732363,6.908991897,8.27E-11,2.52E-10,13.51871988
NAE1,0.460546698,4.715519485,6.908961681,8.27E-11,2.52E-10,13.23560792
IGKV3D-20,1.905306626,5.075145259,6.903936232,8.51E-11,2.59E-10,12.99356534
LAMTOR2,0.581048144,6.649950844,6.900240181,8.68E-11,2.64E-10,12.96702841
NEK6,0.631965956,5.647112306,6.899608971,8.71E-11,2.65E-10,12.93863637
GTPBP2,0.457966206,5.372064861,6.894410804,8.97E-11,2.72E-10,12.91203541
MRPL1,0.486767687,5.229164201,6.892842122,9.05E-11,2.74E-10,12.90860134
HILPDA,1.20618174,4.474761352,6.891124155,9.13E-11,2.77E-10,13.36267127
CDK16,0.498327716,5.58124133,6.88801542,9.29E-11,2.81E-10,12.87560619
PLPP5,0.77581498,4.999545432,6.879363286,9.75E-11,2.95E-10,12.88387532
BCKDK,0.468053921,5.544372819,6.877973263,9.82E-11,2.97E-10,12.82094076
IGLV1-40,2.081247857,8.374577302,6.873861641,1.01E-10,3.04E-10,12.92394892
RRN3,0.401719898,5.22057455,6.872015588,1.02E-10,3.07E-10,12.79541374
DGUOK,0.454169555,5.778718079,6.869248742,1.03E-10,3.11E-10,12.77263714
IGHV3-33,2.124401418,6.120782174,6.86776473,1.04E-10,3.14E-10,12.77181847
SLC30A1,0.624407151,4.910377884,6.86491422,1.06E-10,3.18E-10,12.84907571
GID8,0.466507372,5.771130132,6.862823796,1.07E-10,3.22E-10,12.73751329
FAM162A,0.609722293,5.044633089,6.86269099,1.07E-10,3.22E-10,12.77702919
IRF7,0.777617856,5.371993245,6.862111052,1.07E-10,3.23E-10,12.73552018
DDX23,0.447823854,6.27144478,6.859669399,1.09E-10,3.27E-10,12.73128225
IGHV3-23,2.075206934,8.180002881,6.855584785,1.11E-10,3.34E-10,12.81429934
PDRG1,0.554084491,4.993950795,6.845845895,1.17E-10,3.52E-10,12.70322611
LSM4,0.550021053,6.33953537,6.84212652,1.20E-10,3.59E-10,12.63746642
UBXN4,0.375886358,6.647823834,6.83751169,1.23E-10,3.68E-10,12.62440595
MZB1,1.679971448,4.697946582,6.836456967,1.24E-10,3.70E-10,12.85552271
CENPX,0.78097973,6.12954831,6.828840638,1.29E-10,3.85E-10,12.55985912
MRPS15,0.583477204,6.033900244,6.827150887,1.30E-10,3.89E-10,12.54823069
PRSS22,1.143599899,4.492711849,6.820601586,1.35E-10,4.02E-10,12.96179546
UBAC2,0.43241159,5.631191465,6.81940219,1.36E-10,4.05E-10,12.50109586
SSB,0.390591694,5.380717235,6.815768041,1.39E-10,4.12E-10,12.48299314
PSMC2,0.408567291,5.168336097,6.815050491,1.39E-10,4.14E-10,12.49067619
ANKIB1,0.589533396,4.864920517,6.811795725,1.42E-10,4.21E-10,12.58799253
PCGF1,0.414917543,4.855370378,6.811175448,1.42E-10,4.22E-10,12.59114281
GNPAT,0.401600706,5.973088176,6.799776974,1.51E-10,4.49E-10,12.39789222
MEX3D,0.68291074,4.670453426,6.79939881,1.52E-10,4.50E-10,12.67908522
C16orf91,0.56984039,5.142925232,6.798059268,1.53E-10,4.53E-10,12.40211171
RNF4,0.31174843,4.957278915,6.795987203,1.55E-10,4.58E-10,12.44884315
TMEM14B,0.609190055,4.931294159,6.794445156,1.56E-10,4.61E-10,12.45395445
GALNT6,1.238975949,4.290963419,6.793709681,1.57E-10,4.63E-10,12.99468229
SEMA4C,0.687294552,4.794238702,6.792618179,1.58E-10,4.65E-10,12.53562306
GTF3A,0.57000721,6.507587552,6.789219137,1.60E-10,4.74E-10,12.35571812
ADGRG1,0.991527478,5.373659871,6.785930569,1.63E-10,4.82E-10,12.32109742
SLC12A7,0.786444972,5.983642776,6.780350183,1.69E-10,4.97E-10,12.2927952
IGHV2-5,2.208460404,7.070432515,6.772916929,1.76E-10,5.17E-10,12.29639457
ROMO1,0.7212581,7.678855175,6.77030139,1.78E-10,5.24E-10,12.321029
VBP1,0.459983787,6.285412072,6.768575385,1.80E-10,5.29E-10,12.23654693
UBAP2L,0.491634108,6.198149622,6.765280125,1.83E-10,5.38E-10,12.21655431
BOLA1,0.755185762,4.822270461,6.764205342,1.84E-10,5.41E-10,12.36030322
SMG5,0.541178205,6.13562848,6.759492729,1.89E-10,5.55E-10,12.18374869
YME1L1,0.390453289,6.177267827,6.758653502,1.90E-10,5.57E-10,12.18020411
IGLV6-57,2.200685507,7.341831373,6.757262499,1.91E-10,5.61E-10,12.2281652
NOP14,0.484402502,4.658104174,6.755119032,1.94E-10,5.67E-10,12.45073714
PERP,0.919748306,7.353078848,6.75206739,1.97E-10,5.76E-10,12.20079433
MMP14,0.95391291,7.403508721,6.747126354,2.02E-10,5.92E-10,12.17734287
PIP4K2C,0.595504611,6.177426727,6.746345951,2.03E-10,5.94E-10,12.11367351
NACC1,0.583288142,5.344730427,6.745705166,2.04E-10,5.96E-10,12.10380427
RPL26L1,0.570333288,5.357182235,6.743210045,2.07E-10,6.03E-10,12.09012909
SEL1L3,0.651515588,6.259838597,6.741059532,2.09E-10,6.10E-10,12.08711449
METTL26,0.623952446,6.069706587,6.740666465,2.10E-10,6.11E-10,12.08034051
SNAPIN,0.497578597,6.254451282,6.735056138,2.16E-10,6.30E-10,12.05456707
HSD17B10,0.499705038,7.297811211,6.731814468,2.20E-10,6.41E-10,12.08792721
MYDGF,0.511185172,7.602937301,6.725086479,2.28E-10,6.64E-10,12.07163693
AP1M2,0.616666294,6.518225351,6.719460021,2.35E-10,6.84E-10,11.97898566
PRDX3,0.525608493,7.046149387,6.715985438,2.40E-10,6.95E-10,11.98744879
PARK7,0.421591906,7.742005421,6.715830745,2.40E-10,6.95E-10,12.03102892
IGHJ4,2.109623207,4.934488669,6.71141647,2.46E-10,7.11E-10,12.00341557
IGHJ3,2.009570237,5.471100659,6.711229019,2.46E-10,7.11E-10,11.91660263
SPSB1,0.79850713,5.569851063,6.706567269,2.53E-10,7.29E-10,11.89095214
VCAN,1.423425631,4.90042829,6.705078686,2.55E-10,7.35E-10,11.98849469
IGHV4-39,2.200144871,7.616107722,6.704140475,2.56E-10,7.38E-10,11.95968494
PSME4,0.544458509,4.831520102,6.694203032,2.70E-10,7.78E-10,11.97592028
SSR2,0.525761565,6.656360162,6.686798373,2.81E-10,8.09E-10,11.80940975
GMCL1,0.425426773,4.640119953,6.685884086,2.83E-10,8.13E-10,12.09456655
PSMC5,0.366970343,6.087072872,6.685732972,2.83E-10,8.13E-10,11.78484563
ARFGAP1,0.488174908,5.207283603,6.682726827,2.88E-10,8.26E-10,11.77115153
UTP11,0.369083931,4.963327762,6.679166247,2.93E-10,8.42E-10,11.81528846
PPIAP22,0.575795192,7.320768397,6.674939989,3.00E-10,8.60E-10,11.78327224
DPM2,0.471575724,6.023131332,6.67040125,3.08E-10,8.81E-10,11.70085274
CD79A,1.679454757,4.985248628,6.659979511,3.26E-10,9.32E-10,11.70223757
FN3KRP,0.402886476,5.542622359,6.659017393,3.28E-10,9.36E-10,11.63564911
RAB10,0.486117209,7.294754944,6.656376654,3.32E-10,9.49E-10,11.68206673
IGLV1-47,1.946754202,7.362258729,6.64802759,3.48E-10,9.92E-10,11.64161267
KCTD5,0.550425855,5.371672011,6.644985543,3.54E-10,1.01E-09,11.56167125
TMPO,0.700519284,5.143993381,6.64335651,3.57E-10,1.02E-09,11.56799328
PPIA,0.517770528,7.279259941,6.638201523,3.67E-10,1.04E-09,11.58377098
RBBP4,0.432363697,5.24537353,6.637554091,3.68E-10,1.05E-09,11.52603325
DPY19L1,0.849018714,5.350763937,6.635683908,3.72E-10,1.06E-09,11.51218149
PGAM1,0.520831275,5.648860856,6.632283827,3.79E-10,1.08E-09,11.49183018
SNRPGP2,0.72318973,4.718152247,6.62957192,3.84E-10,1.09E-09,11.72157753
POLE3,0.44006344,6.238400146,6.618836218,4.08E-10,1.16E-09,11.43010122
MPHOSPH10,0.429393993,4.845793419,6.615923089,4.14E-10,1.17E-09,11.54623175
FHL3,0.618862065,4.9813669,6.613919857,4.19E-10,1.19E-09,11.45755802
IGHJ5,1.888489632,3.508027031,6.612577457,4.22E-10,1.19E-09,12.50252793
SRSF9,0.433056797,5.221631393,6.587470121,4.83E-10,1.37E-09,11.26025935
DLAT,0.491142167,4.97745536,6.585338837,4.89E-10,1.38E-09,11.30694463
UBA2,0.503415312,6.207389906,6.568521711,5.35E-10,1.51E-09,11.16121297
IGHJ2,1.768577064,4.427496497,6.564458543,5.47E-10,1.54E-09,11.6467965
EIF2S2,0.354160442,6.861789115,6.556590196,5.71E-10,1.61E-09,11.12434989
IGHV5-51,2.143794271,7.882517354,6.548098887,5.98E-10,1.68E-09,11.14310752
IGLV4-69,1.942734939,6.266603429,6.548025696,5.98E-10,1.68E-09,11.05379941
RAMP1,1.263678801,5.241640503,6.545078286,6.08E-10,1.71E-09,11.03353983
NOA1,0.382016771,5.113773913,6.529247492,6.62E-10,1.85E-09,10.96552488
USP10,0.362511363,5.44669914,6.526167248,6.73E-10,1.88E-09,10.92825195
SMG7,0.468526179,5.321651454,6.524083322,6.80E-10,1.90E-09,10.91884607
DDB1,0.350066962,5.942831345,6.521140264,6.91E-10,1.93E-09,10.90321861
IGHV3-48,2.042401589,6.74815936,6.512079342,7.26E-10,2.03E-09,10.88243417
FAHD1,0.428648032,4.692625983,6.509793191,7.35E-10,2.05E-09,11.10797233
PGAP6,0.615904631,6.174604517,6.504029974,7.58E-10,2.11E-09,10.81857295
SUMO1,0.350298139,7.251313385,6.503411034,7.61E-10,2.12E-09,10.86530594
SLC35F5,0.441559327,4.832311921,6.488837375,8.23E-10,2.29E-09,10.88146939
S100P,2.853310125,7.174568309,6.487744926,8.27E-10,2.30E-09,10.77791648
MOV10,0.50610508,4.685850966,6.485390654,8.38E-10,2.33E-09,10.98530887
RNF187,0.37547785,6.788759769,6.473758423,8.92E-10,2.47E-09,10.68225268
MSRB1,0.834555467,6.110126559,6.465260704,9.33E-10,2.59E-09,10.61250201
DHX15,0.391241286,5.669472273,6.46098484,9.55E-10,2.64E-09,10.58284322
ICMT,0.41591208,6.175489881,6.453462992,9.94E-10,2.75E-09,10.55200613
HIBADH,0.474188143,6.117542924,6.451941809,1.00E-09,2.77E-09,10.54260524
MAD2L1BP,0.400006403,5.344369891,6.451336573,1.01E-09,2.78E-09,10.5344528
CKS2,0.91564089,6.690514778,6.448832805,1.02E-09,2.81E-09,10.5460397
DDX18,0.385937975,5.338084814,6.446991491,1.03E-09,2.84E-09,10.51173341
FAM91A1,0.462208268,4.971233652,6.446888375,1.03E-09,2.84E-09,10.57739553
FUBP1,0.4699347,5.412897135,6.444214081,1.04E-09,2.88E-09,10.49618153
MDFI,1.093753102,4.349642954,6.440888428,1.06E-09,2.93E-09,11.06463173
CIAO1,0.271108121,5.947864015,6.437021797,1.09E-09,2.99E-09,10.45985356
IGKV1-16,2.034627089,6.407063446,6.436677902,1.09E-09,2.99E-09,10.47010039
B3GAT3,0.514251488,5.562564687,6.43620813,1.09E-09,3.00E-09,10.45323668
STK26,0.666125814,4.731560909,6.430035527,1.13E-09,3.10E-09,10.65326299
ITGAV,0.779889107,5.977455982,6.429873902,1.13E-09,3.10E-09,10.42308001
KRT10,0.650246493,5.093389612,6.427720373,1.14E-09,3.13E-09,10.43487056
PIGT,0.534188779,4.824162664,6.425260735,1.16E-09,3.17E-09,10.55311219
TOMM34,0.477996762,5.909332198,6.423161429,1.17E-09,3.20E-09,10.3862043
TRIB3,0.967283794,4.76602449,6.418514048,1.20E-09,3.28E-09,10.56339622
BCCIP,0.436903907,4.912710343,6.415670006,1.22E-09,3.33E-09,10.44418301
ARCN1,0.414632017,7.368659936,6.414297376,1.23E-09,3.35E-09,10.40384236
IDH1,0.725599055,6.628213502,6.41346673,1.23E-09,3.36E-09,10.357436
BANF1,0.479723845,7.674718949,6.396936243,1.34E-09,3.67E-09,10.33337232
ZNF581,0.60420041,4.958899324,6.390952493,1.39E-09,3.78E-09,10.29012884
GOLPH3L,0.556106069,5.598591541,6.386729443,1.42E-09,3.86E-09,10.19382547
CTSA,0.514828031,5.879077842,6.382076792,1.46E-09,3.96E-09,10.17058559
IGHV3-53,1.775169413,4.734960201,6.381992051,1.46E-09,3.96E-09,10.3988965
EI24,0.378620782,6.846255386,6.373574074,1.52E-09,4.13E-09,10.15998026
SPCS2,0.361035678,5.714341475,6.372996328,1.53E-09,4.14E-09,10.12163088
AZIN1,0.485863961,6.66214556,6.371491784,1.54E-09,4.17E-09,10.1396166
SLC1A5,0.621111508,6.835629444,6.360633095,1.63E-09,4.41E-09,10.09191912
YWHAQ,0.446146305,8.320070606,6.35939015,1.64E-09,4.44E-09,10.17490602
SUCO,0.498704908,4.76729619,6.355311268,1.68E-09,4.53E-09,10.23222905
IGKV1-9,1.972936739,6.696120901,6.349266224,1.73E-09,4.68E-09,10.02545772
BASP1,1.239127687,6.17185513,6.343127941,1.79E-09,4.83E-09,9.974751968
METTL9,0.487182527,5.535526937,6.342734545,1.79E-09,4.84E-09,9.964849505
RPN1,0.36856108,8.282062261,6.342399008,1.80E-09,4.84E-09,10.08452821
SUB1,0.450776339,5.658772873,6.340196499,1.82E-09,4.90E-09,9.950888567
IGHV4-28,1.661593205,4.339317482,6.3381157,1.84E-09,4.95E-09,10.53754239
IGHV4-4,2.172270791,5.878266405,6.3379369,1.84E-09,4.95E-09,9.940538119
SPINT1,0.63850243,7.618311206,6.336843078,1.85E-09,4.98E-09,10.01623253
COX6B1,0.520057248,8.14196863,6.33339959,1.88E-09,5.06E-09,10.03043374
GSKIP,0.585378281,4.534383859,6.320789579,2.01E-09,5.40E-09,10.2680668
IGHV1-69,2.0919092,4.92690561,6.319791595,2.02E-09,5.43E-09,9.936253883
PFN2,1.203599658,5.611803816,6.31404196,2.09E-09,5.60E-09,9.815297568
IGHV2-26,2.072970079,4.944977088,6.312995772,2.10E-09,5.62E-09,9.891271202
CHCHD1,0.486140011,5.92498978,6.310013682,2.13E-09,5.71E-09,9.796527887
IGHV3-15,1.958801375,7.153207619,6.30464691,2.19E-09,5.87E-09,9.819129401
TUBA4A,0.760132252,5.79797539,6.29690384,2.29E-09,6.10E-09,9.726422955
SGPP2,1.171405295,5.832626323,6.294755746,2.31E-09,6.16E-09,9.715732491
