probe	avg_expr_SC	avg_expr_SNC	avg_expr_NS	fdr_SC_NS	ttest_SC_NS	fdr_SNC_NS	ttest_SNC_NS	gene
206855_s_at	6.29	6.62	6.96	0.246	0.047	0.089	0.006	HYAL2
208984_x_at	7.28	7.03	7.56	0.076	0.004	0.526	0.244	RBM10
204000_at	6.42	6.15	6.75	0.078	0.005	0.281	0.065	GNB5
219314_s_at	5.65	5.78	6.76	0.09	0.006	0.065	0.003	ZNF219
212736_at	6.1	6.28	7.08	0.066	0.003	0.037	0.001	C16orf45
63825_at	8.19	8.03	7.1	0.102	0.008	0.055	0.002	ABHD2
209366_x_at	9.45	9.86	10.58	0.083	0.005	0.02	0	CYB5A
214696_at	6.66	6.98	6.5	0.044	0.002	0.714	0.471	C17orf91
202384_s_at	5.16	4.99	5.99	0.042	0.001	0.05	0.002	TCOF1
205566_at	7.56	7.67	6.9	0.004	0	0.016	0	ABHD2
200644_at	7.54	7.71	6.93	0.049	0.002	0.091	0.007	MARCKSL1
214093_s_at	5.12	5.03	5.75	0.072	0.004	0.09	0.006	FUBP1
207559_s_at	7.65	7.48	7.98	0.03	0.001	0.146	0.017	ZMYM3
201275_at	7.57	7.83	8.04	0.29	0.065	0.076	0.004	FDPS
212902_at	5.46	5.63	5.25	0.08	0.005	0.437	0.164	SEC24A
213080_x_at	11.22	11.14	11.83	0.03	0.001	0.051	0.002	RPL5
204231_s_at	6.11	6.06	6.79	0.022	0	0.039	0.001	FAAH
214459_x_at	12.07	12.24	12.96	0.042	0.001	0.027	0	HLA-C
200775_s_at	9.14	9.45	9.69	0.35	0.098	0.064	0.003	HNRNPK
201557_at	6.87	6.77	7.27	0.07	0.004	0.168	0.023	VAMP2
217740_x_at	12.22	12.21	12.87	0.052	0.002	0.057	0.002	RPL7A
215136_s_at	5.64	5.53	6.35	0.053	0.002	0.085	0.006	EXOSC8
206959_s_at	5.78	5.78	6.54	0.059	0.003	0.054	0.002	UPF3A
219108_x_at	8.49	7.95	7.79	0.715	0.466	0.082	0.005	DDX27
209550_at	7.31	6.89	7.44	0.042	0.001	0.627	0.356	NDN
201468_s_at	9.94	10.15	8.61	0	0	0.006	0	NQO1
218914_at	6.19	6.02	6.6	0.096	0.007	0.213	0.038	C1orf66
210514_x_at	8.87	9.48	9.74	0.664	0.392	0.06	0.003	HLA-G
209310_s_at	6.24	6.41	6.68	0.442	0.165	0.09	0.007	CASP4
203804_s_at	8.25	7.78	7.36	0.371	0.113	0.078	0.005	CROP
217122_s_at	7.87	7.97	8.49	0.034	0.001	0.038	0.001	RP11-345P4.4
204753_s_at	5.24	5.47	6.29	0.09	0.006	0.087	0.006	HLF
203340_s_at	6.21	6.2	6.83	0.13	0.013	0.09	0.006	SLC25A12
219040_at	6.38	6.12	6.85	0.046	0.002	0.308	0.078	CORO7
208845_at	10.62	10.19	10.1	0.786	0.576	0.084	0.006	VDAC3
205059_s_at	6.4	6.38	6.87	0.156	0.018	0.096	0.007	IDUA
213726_x_at	12.16	12.31	12.65	0.203	0.032	0.081	0.005	TUBB2C
210723_x_at	4.98	5.2	5.84	0.217	0.036	0.078	0.005	MGC4771
213534_s_at	6.36	6.54	6.93	0.266	0.054	0.097	0.008	PASK
200786_at	8.96	8.85	8.63	0.259	0.051	0.087	0.006	PSMB7
221476_s_at	10.6	10.61	11.35	0.032	0.001	0.048	0.002	RPL15
33323_r_at	11.03	10.34	9.97	0.268	0.055	0.038	0.001	SFN
218546_at	6.06	5.2	6.07	0.09	0.006	0.99	0.974	C1orf115
210469_at	5.53	5.57	6.79	0.025	0	0.026	0	DLG5
209355_s_at	5.12	5.45	6.36	0.129	0.012	0.064	0.003	PPAP2B
201447_at	5.76	6.3	6.29	0.972	0.938	0.087	0.006	TIA1
210011_s_at	6.73	7.24	7.9	0.121	0.011	0.048	0.002	EWSR1
213254_at	5.9	6.46	6.95	0.115	0.01	0.032	0.001	TNRC6B
47553_at	5.41	5.68	6.47	0.107	0.009	0.047	0.002	DFNB31
209610_s_at	7.18	6.96	6.71	0.388	0.124	0.098	0.008	SLC1A4
211963_s_at	7.94	8.24	7.52	0.066	0.003	0.314	0.082	ARPC5
200736_s_at	10.14	9.87	9.32	0.215	0.036	0.078	0.005	GPX1
221742_at	7.2	7.39	8.2	0.019	0	0.024	0	CUGBP1
209619_at	10.3	11.16	11.54	0.492	0.207	0.023	0	CD74
209403_at	5.07	5.41	6.68	0.018	0	0.002	0	TBC1D3B
209215_at	6.55	6.81	7.82	0.04	0.001	0.035	0.001	MFSD10
33778_at	8.58	8.39	8.21	0.388	0.124	0.081	0.005	TBC1D22A
218091_at	6.76	6.73	6.31	0.045	0.002	0.04	0.001	HRB
201980_s_at	6.35	6.56	5.82	0.032	0.001	0.104	0.009	RSU1
209436_at	6.15	5.98	5.61	0.322	0.082	0.085	0.006	SPON1
207319_s_at	4.39	4.65	5.22	0.218	0.037	0.075	0.004	CDC2L5
52164_at	6.7	6.45	6.19	0.412	0.141	0.057	0.002	C11orf24
203630_s_at	7.14	6.91	6.5	0.366	0.109	0.049	0.002	COG5
208823_s_at	7.41	7.5	7.92	0.173	0.023	0.083	0.006	PCTK1
214870_x_at	8.88	9.47	10.17	0.09	0.006	0.044	0.001	NPIP
33760_at	6.48	6.21	6.87	0.06	0.003	0.243	0.049	PEX14
213059_at	9.02	9.19	8.59	0.043	0.001	0.146	0.017	CREB3L1
200630_x_at	9.99	10.03	10.49	0.044	0.002	0.033	0.001	SET
203028_s_at	9.34	9.27	8.83	0.145	0.016	0.09	0.006	CYBA
202829_s_at	6.79	7.1	6.49	0.073	0.004	0.412	0.143	VAMP7
209699_x_at	11.11	11.23	9.74	0.002	0	0.014	0	AKR1C2
218002_s_at	6.24	6.42	4.9	0.103	0.008	0.146	0.017	CXCL14
214773_x_at	5.97	5.7	4.82	0.123	0.011	0.071	0.004	TIPRL
209063_x_at	7.08	7.2	6.62	0.043	0.001	0.088	0.006	PAIP1
202679_at	6.29	6.48	6.7	0.41	0.139	0.104	0.009	NPC1
220199_s_at	4.79	5.22	4.49	0.063	0.003	0.667	0.407	AIDA
212542_s_at	7.6	7.37	8.04	0.038	0.001	0.135	0.015	PHIP
209314_s_at	4.3	3.56	2.59	0.296	0.068	0.075	0.004	HBS1L
218920_at	7.09	7.26	7.86	0.033	0.001	0.038	0.001	FLJ10404
205990_s_at	6.07	6	5.33	0.124	0.011	0.093	0.007	WNT5A
212411_at	7.85	7.66	8.13	0.081	0.005	0.246	0.05	IMP4
203569_s_at	8.91	8.64	9.36	0.007	0	0.115	0.011	OFD1
221756_at	7.55	7.44	7.92	0.083	0.005	0.215	0.039	PIK3IP1
207222_at	7.84	7.67	7.07	0.133	0.014	0.057	0.002	PLA2G10
209309_at	6.29	5.89	4.98	0.097	0.007	0.038	0.001	AZGP1
208977_x_at	12.06	12.24	12.62	0.237	0.043	0.084	0.006	TUBB2C
203906_at	7.03	6.99	7.71	0.025	0	0.038	0.001	IQSEC1
209118_s_at	12.4	12	11.56	0.335	0.089	0.089	0.006	TUBA1A
201098_at	8.29	8.45	7.9	0.013	0	0.082	0.005	COPB2
217836_s_at	6.64	6.76	7.34	0.029	0.001	0.116	0.011	YY1AP1
205725_at	12.01	12.02	14.33	0.061	0.003	0.059	0.003	SCGB1A1
221887_s_at	5.65	5.88	6.85	0.018	0	0.006	0	DFNB31
208979_at	7.08	7.18	7.56	0.129	0.012	0.049	0.002	NCOA6
204383_at	5.44	5.37	6.2	0.03	0.001	0.051	0.002	DGCR14
200884_at	8.95	8.56	9.67	0.007	0	0.075	0.004	CKB
212807_s_at	7.04	6.86	6.52	0.077	0.004	0.014	0	SORT1
202197_at	7.65	7.72	7.92	0.217	0.036	0.102	0.008	MTMR3
209234_at	5.49	6.05	6.65	0.09	0.006	0.035	0.001	KIF1B
218312_s_at	8.18	8.22	8.65	0.047	0.002	0.067	0.003	ZSCAN18
32402_s_at	6.08	5.5	6.24	0.104	0.008	0.76	0.54	SYMPK
211750_x_at	12.09	12.19	12.45	0.235	0.042	0.101	0.008	TUBA1C
214327_x_at	11.61	11.49	12.55	0.09	0.006	0.124	0.013	TPT1
215222_x_at	6.34	6.99	7.21	0.633	0.354	0.073	0.004	MACF1
202842_s_at	8.09	8.13	7.4	0.092	0.007	0.104	0.009	DNAJB9
202796_at	5.57	5.49	6.96	0.02	0	0.032	0.001	SYNPO
205267_at	5.46	5.29	6.13	0.058	0.003	0.189	0.03	POU2AF1
219747_at	6.08	5.78	6.71	0.021	0	0.1	0.008	C4orf31
208614_s_at	8.04	8.19	8.99	0.002	0	0.025	0	FLNB
210466_s_at	8.68	8.26	7.59	0.169	0.021	0.045	0.001	SERBP1
213455_at	8.86	9.02	8.3	0.022	0	0.086	0.006	FAM114A1
212445_s_at	6.99	7.18	7.38	0.29	0.065	0.096	0.008	NEDD4L
218972_at	6.74	6.62	6.21	0.23	0.04	0.099	0.008	TTC17
218651_s_at	6.91	6.74	7.27	0.038	0.001	0.17	0.024	LARP6
219041_s_at	7.72	7.74	8.17	0.149	0.017	0.094	0.007	REPIN1
213018_at	6.08	6.36	6.64	0.339	0.091	0.07	0.004	GATAD1
207543_s_at	7.8	7.6	7.2	0.255	0.05	0.101	0.008	P4HA1
207722_s_at	5.38	5.23	6.59	0.043	0.001	0.096	0.008	BTBD2
200982_s_at	5.58	6.04	6.43	0.336	0.09	0.053	0.002	ANXA6
200801_x_at	11.95	12.22	12.5	0.358	0.104	0.041	0.001	ACTB
218175_at	6.92	7.18	8.02	0.042	0.001	0.042	0.001	CCDC92
201997_s_at	7.42	7.46	7.93	0.059	0.003	0.048	0.002	SPEN
201775_s_at	6.97	7.11	6.58	0.049	0.002	0.12	0.012	KIAA0494
208692_at	11.96	11.74	12.51	0.024	0	0.103	0.009	RPS3
215346_at	5.11	5.69	6.28	0.206	0.032	0.031	0	CD40
200596_s_at	5.62	6.31	7.55	0.178	0.024	0.049	0.002	EIF3A
89476_r_at	5.92	6.09	7.07	0.087	0.006	0.051	0.002	NPEPL1
35685_at	8.46	8.35	8.74	0.033	0.001	0.179	0.026	RING1
214585_s_at	7.99	7.9	8.44	0.095	0.007	0.179	0.026	VPS52
202290_at	6.2	6.77	7.17	0.444	0.166	0.061	0.003	PDAP1
208919_s_at	7.34	7.76	7.26	0.042	0.001	0.828	0.656	NADK
78383_at	6.56	6.54	6.91	0.081	0.005	0.136	0.015	TOPORS
211970_x_at	12.12	12.25	12.63	0.127	0.012	0.099	0.008	ACTG1
209386_at	7.47	7.47	6.11	0.044	0.002	0.045	0.001	TM4SF1
200655_s_at	11.04	10.73	10.52	0.408	0.138	0.068	0.003	CALM1
203113_s_at	10.14	9.74	10.36	0.041	0.001	0.566	0.285	EEF1D
218424_s_at	8.53	8.13	8.74	0.099	0.007	0.57	0.29	STEAP3
217760_at	7.56	7.69	8.05	0.058	0.003	0.025	0	TRIM44
202029_x_at	11.83	11.83	12.52	0.109	0.009	0.101	0.008	RPL38
209688_s_at	5.84	6.19	6.71	0.032	0.001	0.026	0	CCDC93
218556_at	8.83	8.77	8.34	0.178	0.024	0.103	0.009	ORMDL2
220351_at	4.9	4.97	6.12	0.024	0	0.024	0	CCRL1
221546_at	3.88	4.57	5.41	0.128	0.012	0.02	0	PRPF18
201397_at	6.44	6.59	7.14	0.046	0.002	0.028	0	PHGDH
203240_at	8.73	8.76	11.29	0.004	0	0.006	0	FCGBP
201578_at	7.06	7.22	7.7	0.142	0.015	0.064	0.003	PODXL
201463_s_at	9.83	10.09	9.34	0.017	0	0.139	0.015	TALDO1
205759_s_at	6.65	6.48	6.98	0.05	0.002	0.234	0.046	SULT2B1
201030_x_at	10.58	10.54	11.33	0.007	0	0.018	0	LDHB
208712_at	7.57	7.36	7.95	0.047	0.002	0.309	0.079	CCND1
201820_at	10.05	9.9	10.82	0.007	0	0.073	0.004	KRT5
213796_at	4.11	4.32	1.98	0.013	0	0.066	0.003	SPRR1A
216316_x_at	4.88	5.1	3.36	0.038	0.001	0.066	0.003	GK|GK3P
201672_s_at	7.98	8.04	7.73	0.097	0.007	0.14	0.016	USP14
204542_at	8.09	8.15	8.95	0.042	0.001	0.032	0.001	ST6GALNAC2
200872_at	9.13	9.49	8.69	0.017	0	0.124	0.013	S100A10
216520_s_at	11.79	11.99	12.68	0.316	0.079	0.062	0.003	TPT1
212221_x_at	8.35	8.17	7.18	0.16	0.019	0.1	0.008	IDS
203135_at	5.89	6.07	6.78	0.106	0.008	0.053	0.002	TBP
212312_at	8.2	7.82	7.71	0.753	0.523	0.081	0.005	BCL2L1
203380_x_at	8.84	8.84	9.25	0.018	0	0.047	0.002	SFRS5
214882_s_at	6.7	7.34	7.63	0.581	0.297	0.078	0.005	SFRS2
203244_at	7.29	7.26	7.66	0.072	0.004	0.093	0.007	PEX5
221046_s_at	8.28	7.8	7.6	0.586	0.302	0.057	0.002	GTPBP8
201942_s_at	4.04	5.11	3.35	0.041	0.001	0.468	0.189	CPD
211778_s_at	7.8	7.41	7.75	0.042	0.001	0.839	0.675	OVOL2
200675_at	10.2	10.02	10.64	0.005	0	0.102	0.009	CD81
217730_at	7.39	7.68	7.96	0.39	0.125	0.064	0.003	TMBIM1
204803_s_at	8.36	8.44	9.25	0.045	0.002	0.078	0.005	RRAD
201910_at	6.82	7.09	7.47	0.192	0.028	0.047	0.001	FARP1
221607_x_at	12.03	12.22	12.53	0.288	0.064	0.101	0.008	ACTG1
38964_r_at	8.35	7.85	7.75	0.813	0.62	0.086	0.006	WAS
204990_s_at	7.72	7.94	8.8	0.018	0	0.06	0.003	ITGB4
212156_at	6.03	6.36	7.42	0.059	0.003	0.032	0.001	VPS39
320_at	6.71	6.44	7.15	0.071	0.004	0.267	0.059	PEX6
204532_x_at	8.22	8.44	7.8	0.021	0	0.187	0.029	UGT1A4
204716_at	6.19	5.94	5.28	0.155	0.018	0.043	0.001	CCDC6
211653_x_at	10.57	10.74	9.37	0.022	0	0.055	0.002	AKR1C2
212059_s_at	6.2	6.33	6.8	0.114	0.01	0.035	0.001	TRPC4AP
213792_s_at	7.57	7.65	8.59	0.028	0.001	0.028	0	INSR
220166_at	4.53	4.86	5.59	0.161	0.019	0.044	0.001	CNNM1
222175_s_at	6.45	7.02	7.54	0.109	0.009	0.021	0	MED15
205640_at	9.13	9.07	9.9	0.004	0	0.025	0	ALDH3B1
219724_s_at	4.38	4.13	5.39	0.09	0.006	0.164	0.022	KIAA0748
217902_s_at	5.64	5.9	6.25	0.141	0.015	0.043	0.001	HERC2
218677_at	8.43	8.47	7.95	0.032	0.001	0.062	0.003	S100A14
213867_x_at	12.05	12.39	12.67	0.31	0.076	0.041	0.001	ACTB
214909_s_at	5.98	6.11	6.94	0.149	0.017	0.103	0.009	DDAH2
211404_s_at	7.39	7.6	6.93	0.021	0	0.131	0.014	APLP2
200039_s_at	8.84	8.89	8.6	0.026	0.001	0.131	0.014	PSMB2
216232_s_at	5.59	5.76	6.43	0.175	0.023	0.047	0.001	GCN1L1
216594_x_at	11.04	11.14	9.63	0.002	0	0.013	0	AKR1C1
219080_s_at	5.91	5.82	5.5	0.13	0.013	0.06	0.003	CTPS2
200949_x_at	11.19	11.31	11.95	0.08	0.005	0.045	0.001	RPS20
209134_s_at	12.12	11.75	12.33	0.074	0.004	0.589	0.312	RPS6
212232_at	6.58	7.09	7.33	0.401	0.132	0.023	0	FNBP4
201588_at	9.47	9.38	8.92	0.033	0.001	0.022	0	TXNL1
213571_s_at	7.61	7.37	6.81	0.086	0.006	0.054	0.002	EIF4E2
