Rank	Gene	Mean_Tumor_TPM/Mean_Normal_TPM	P-value
109	PTTG1	6.628244612	0
110	GYLTL1B	6.594897362	1.62E-12
111	GPR110	6.578951217	0
112	GOLM1	6.532794853	1.62E-12
113	ASF1B	6.527272845	1.62E-12
114	MUC4	6.483175337	0
115	KRT80	6.429521682	1.62E-12
116	PROM2	6.382563933	1.62E-12
117	C8orf73	6.350993862	1.62E-12
118	RAC3	6.338415835	1.62E-12
119	RPL39L	6.309639656	1.62E-12
120	FHL2	6.23920508	1.62E-12
121	SRPX2	6.21477653	1.62E-12
122	METTL7B	6.170804924	1.62E-12
123	PHLDA2	6.125463755	0
124	C16orf75	5.999509698	0
125	ABCC3	5.973517688	0
126	FAP	5.947131698	1.62E-12
127	PLA2G4A	5.92223642	1.62E-12
128	HMGA1	5.905889719	1.62E-12
129	C1QTNF6	5.8507978	0
130	LCN2	5.750490155	5.31E-14
131	HIST1H2BD	5.695485866	1.62E-12
132	TYMS	5.683864688	0
133	MCM4	5.679248425	0
134	PPAP2C	5.574484675	0
135	COL5A2	5.528196196	1.62E-12
136	SIX1	5.505897833	1.62E-12
137	PVRL4	5.401186935	0
138	LOC96610	5.368895193	0
139	MUC20	5.344451458	0
140	ECT2	5.329513943	0
141	GCLC	5.321658927	3.33E-16
142	DSP	5.308249602	0
143	NME1	5.231419285	0
144	PAFAH1B3	5.19998827	1.62E-12
145	ERO1L	5.156065169	1.62E-12
146	FANCI	5.109491056	0
147	EPHX3	5.097835243	0
148	DUSP4	5.090936209	1.62E-12
149	IGFBP3	5.086834805	0
150	SC65	5.056402885	1.62E-12
151	OCIAD2	5.052741955	0
152	KDELR3	5.051431358	0
153	PFKP	5.042448239	1.62E-12
154	MCM2	5.037279617	0
155	PABPC1L	5.011844793	0
156	FUT3	5.007882126	1.62E-12
157	AGR2	5.005758914	0
158	DERL3	4.970838169	1.62E-12
159	REEP6	4.9502725	0
160	BIK	4.94776461	0
161	SLC25A10	4.934047359	1.62E-12
162	RCC1	4.920071481	0
163	PPP1R14B	4.904749603	0
164	ECE2	4.881009731	0
165	EFNA4	4.87153219	1.62E-12
166	MGC29506	4.866227402	1.62E-12
167	PLOD2	4.859464589	1.62E-12
168	COL5A1	4.80603189	0
169	KPNA2	4.802106221	1.62E-12
170	ADAM8	4.776716025	0
171	RAMP1	4.75471099	0
172	MMP9	4.751308186	1.62E-12
173	CEACAM1	4.747868476	0
174	C4orf48	4.738539698	1.62E-12
175	IL4I1	4.73634243	1.62E-12
176	TMEM132A	4.706383828	1.11E-16
177	MMP7	4.702130981	7.60E-11
178	C1orf106	4.643231738	0
179	SAA1	4.598702561	3.69E-07
180	SRD5A1	4.550258042	0
181	CLDN3	4.531291437	1.62E-12
182	LMNB1	4.513992384	0
183	VSTM2L	4.508340528	0
184	ADAM6	4.474076189	0
185	HIST2H2AA3	4.434336827	0
186	NCAPG2	4.397409913	0
187	ATAD2	4.364051509	1.62E-12
188	SERINC2	4.350121539	1.62E-12
189	NT5E	4.340661305	1.62E-12
190	DBNDD1	4.327970519	1.62E-12
191	TNFRSF21	4.322743802	1.62E-12
192	FKBP11	4.317105387	0
193	UBD	4.252127469	1.77E-12
194	UBE2S	4.242060676	1.62E-12
195	SLC6A8	4.23816203	0
196	RFC4	4.223350895	0
197	PAICS	4.217248222	0
198	MANEAL	4.187079709	1.11E-16
199	TMEM45B	4.181626375	0
200	SLC35F2	4.179803844	1.62E-12
201	FKBP10	4.173974537	1.62E-12
202	UCK2	4.104859044	1.62E-12
203	GALNT6	4.086027427	1.62E-12
204	MARCKSL1	4.071233152	0
205	LAD1	4.069732881	1.62E-12
206	ABCB6	4.053665627	1.62E-12
207	XPR1	4.047412394	0
208	LOXL2	4.039659261	0
209	TPBG	4.025267311	1.62E-12
210	TIMELESS	4.014189767	0
211	RCN3	3.975005819	1.62E-12
212	CFB	3.968600636	1.62E-12
213	PDK1	3.947719842	1.62E-12
214	GSDMB	3.941076288	1.62E-12
215	ATHL1	3.878757989	1.63E-12
216	CKS1B	3.864494675	1.62E-12
217	DONSON	3.86048519	1.62E-12
218	PMAIP1	3.852945395	1.62E-12
219	ASNS	3.84773011	1.62E-12
220	GAPDH	3.834828904	0
221	BASP1	3.809787788	0
222	HIST1H2BC	3.797122559	1.62E-12
223	HIST2H4A	3.779251366	0
224	TACC3	3.759442392	1.62E-12
225	PDIA4	3.741921606	1.62E-12
226	LOC645166	3.726171607	1.62E-12
227	RAG1AP1	3.719613129	0
228	UGDH	3.719424525	0
229	POSTN	3.714526357	0
230	MXRA5	3.709607202	1.62E-12
231	TLCD1	3.702662984	1.62E-12
232	VCAN	3.695274621	1.62E-12
233	KIFC2	3.689883249	0
234	FEN1	3.683794786	0
235	MYO19	3.669479664	0
236	ST6GALNAC1	3.64752342	0
237	TNC	3.643413409	0
238	SEZ6L2	3.630806468	0
239	PC	3.618000565	0
240	NPM3	3.614998961	0
241	MFAP2	3.613311472	1.62E-12
242	PVRL1	3.603169352	1.62E-12
243	HN1	3.585655444	0
244	ARHGEF16	3.569558235	1.62E-12
245	EIF4EBP1	3.548045808	0
246	GGCT	3.531603877	1.62E-12
247	PLAT	3.508616778	3.54E-09
248	COL1A2	3.501775962	1.62E-12
249	CENPW	3.486892769	0
250	SMPDL3B	3.471471681	1.62E-12
