EnsemblID	Gene	Species	Gene Name
ENSG00000242852	ZNF709	Homo sapiens	zinc finger protein 709(ZNF709)
ENSG00000019144	PHLDB1	Homo sapiens	pleckstrin homology like domain family B member 1(PHLDB1)
ENSG00000066336	SPI1	Homo sapiens	Spi-1 proto-oncogene(SPI1)
ENSG00000172426	RSPH9	Homo sapiens	radial spoke head component 9(RSPH9)
ENSG00000173757	STAT5B	Homo sapiens	signal transducer and activator of transcription 5B(STAT5B)
ENSG00000204525	HLA-C	Homo sapiens	major histocompatibility complex, class I, C(HLA-C)
ENSG00000147408	CSGALNACT1	Homo sapiens	chondroitin sulfate N-acetylgalactosaminyltransferase 1(CSGALNACT1)
ENSG00000230873	STMND1	Homo sapiens	stathmin domain containing 1(STMND1)
ENSG00000249481	SPATS1	Homo sapiens	spermatogenesis associated serine rich 1(SPATS1)
ENSG00000122122	SASH3	Homo sapiens	SAM and SH3 domain containing 3(SASH3)
ENSG00000147400	CETN2	Homo sapiens	centrin 2(CETN2)
ENSG00000179051	RCC2	Homo sapiens	regulator of chromosome condensation 2(RCC2)
ENSG00000185721	DRG1	Homo sapiens	developmentally regulated GTP binding protein 1(DRG1)
ENSG00000147403	RPL10	Homo sapiens	ribosomal protein L10(RPL10)
ENSG00000135407	AVIL	Homo sapiens	advillin(AVIL)
ENSG00000135406	PRPH	Homo sapiens	peripherin(PRPH)
ENSG00000065054	NHERF2	Homo sapiens	NHERF family PDZ scaffold protein 2(NHERF2)
ENSG00000112769	LAMA4	Homo sapiens	laminin subunit alpha 4(LAMA4)
ENSG00000112763	BTN2A1	Homo sapiens	butyrophilin subfamily 2 member A1(BTN2A1)
ENSG00000181381	DDX60L	Homo sapiens	DExD/H-box 60 like(DDX60L)
ENSG00000173762	CD7	Homo sapiens	CD7 molecule(CD7)
ENSG00000131042	LILRB2	Homo sapiens	leukocyte immunoglobulin like receptor B2(LILRB2)
ENSG00000204592	HLA-E	Homo sapiens	major histocompatibility complex, class I, E(HLA-E)
ENSG00000172428	COPS9	Homo sapiens	COP9 signalosome subunit 9(COPS9)
ENSG00000204599	TRIM39	Homo sapiens	tripartite motif containing 39(TRIM39)
ENSG00000100784	RPS6KA5	Homo sapiens	ribosomal protein S6 kinase A5(RPS6KA5)
ENSG00000109107	ALDOC	Homo sapiens	aldolase, fructose-bisphosphate C(ALDOC)
ENSG00000069424	KCNAB2	Homo sapiens	potassium voltage-gated channel subfamily A regulatory beta subunit 2(KCNAB2)
ENSG00000019169	MARCO	Homo sapiens	macrophage receptor with collagenous structure(MARCO)
ENSG00000164818	DNAAF5	Homo sapiens	dynein axonemal assembly factor 5(DNAAF5)
ENSG00000131051	RBM39	Homo sapiens	RNA binding motif protein 39(RBM39)
ENSG00000167094	TTC16	Homo sapiens	tetratricopeptide repeat domain 16(TTC16)
ENSG00000106070	GRB10	Homo sapiens	growth factor receptor bound protein 10(GRB10)
ENSG00000161791	FMNL3	Homo sapiens	formin like 3(FMNL3)
ENSG00000124766	SOX4	Homo sapiens	SRY-box transcription factor 4(SOX4)
ENSG00000160469	BRSK1	Homo sapiens	BR serine/threonine kinase 1(BRSK1)
ENSG00000011201	ANOS1	Homo sapiens	anosmin 1(ANOS1)
ENSG00000237441	RGL2	Homo sapiens	ral guanine nucleotide dissociation stimulator like 2(RGL2)
ENSG00000179071	CCDC89	Homo sapiens	coiled-coil domain containing 89(CCDC89)
ENSG00000242802	AP5Z1	Homo sapiens	adaptor related protein complex 5 subunit zeta 1(AP5Z1)
ENSG00000136715	SAP130	Homo sapiens	Sin3A associated protein 130(SAP130)
ENSG00000111450	STX2	Homo sapiens	syntaxin 2(STX2)
ENSG00000157653	C9orf43	Homo sapiens	chromosome 9 open reading frame 43(C9orf43)
ENSG00000172458	IL17D	Homo sapiens	interleukin 17D(IL17D)
ENSG00000197756	RPL37A	Homo sapiens	ribosomal protein L37a(RPL37A)
ENSG00000133687	TMTC1	Homo sapiens	transmembrane O-mannosyltransferase targeting cadherins 1(TMTC1)
ENSG00000024526	DEPDC1	Homo sapiens	DEP domain containing 1(DEPDC1)
ENSG00000136710	VMA22	Homo sapiens	vacuolar ATPase assembly factor VMA22(VMA22)
ENSG00000009724	MASP2	Homo sapiens	MBL associated serine protease 2(MASP2)
ENSG00000111452	ADGRD1	Homo sapiens	adhesion G protein-coupled receptor D1(ADGRD1)
ENSG00000112782	CLIC5	Homo sapiens	chloride intracellular channel 5(CLIC5)
ENSG00000196419	XRCC6	Homo sapiens	X-ray repair cross complementing 6(XRCC6)
ENSG00000204576	PRR3	Homo sapiens	proline rich 3(PRR3)
ENSG00000089009	RPL6	Homo sapiens	ribosomal protein L6(RPL6)
ENSG00000204577	LILRB3	Homo sapiens	leukocyte immunoglobulin like receptor B3(LILRB3)
ENSG00000153291	SLC25A27	Homo sapiens	solute carrier family 25 member 27(SLC25A27)
ENSG00000272668	LOC124904434	Homo sapiens	uncharacterized LOC124904434(LOC124904434)
ENSG00000124731	TREM1	Homo sapiens	triggering receptor expressed on myeloid cells 1(TREM1)
ENSG00000145675	PIK3R1	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 1(PIK3R1)
ENSG00000183117	CSMD1	Homo sapiens	CUB and Sushi multiple domains 1(CSMD1)
ENSG00000156313	RPGR	Homo sapiens	retinitis pigmentosa GTPase regulator(RPGR)
ENSG00000163507	CIP2A	Homo sapiens	cellular inhibitor of PP2A(CIP2A)
ENSG00000215218	UBE2QL1	Homo sapiens	ubiquitin conjugating enzyme E2 QL1(UBE2QL1)
ENSG00000215217	CFAP90	Homo sapiens	cilia and flagella associated protein 90(CFAP90)
ENSG00000153283	CD96	Homo sapiens	CD96 molecule(CD96)
ENSG00000171132	PRKCE	Homo sapiens	protein kinase C epsilon(PRKCE)
ENSG00000111445	RFC5	Homo sapiens	replication factor C subunit 5(RFC5)
ENSG00000119397	CNTRL	Homo sapiens	centriolin(CNTRL)
ENSG00000205890	LOC100128770	Homo sapiens	uncharacterized LOC100128770(LOC100128770)
ENSG00000197748	CFAP43	Homo sapiens	cilia and flagella associated protein 43(CFAP43)
ENSG00000124749	COL21A1	Homo sapiens	collagen type XXI alpha 1 chain(COL21A1)
ENSG00000054392	HHAT	Homo sapiens	hedgehog acyltransferase(HHAT)
ENSG00000123416	TUBA1B	Homo sapiens	tubulin alpha 1b(TUBA1B)
ENSG00000124743	KLHL31	Homo sapiens	kelch like family member 31(KLHL31)
ENSG00000257057	C11orf97	Homo sapiens	chromosome 11 open reading frame 97(C11orf97)
ENSG00000242808	SOX2-OT	Homo sapiens	SOX2 overlapping transcript(SOX2-OT)
ENSG00000163512	AZI2	Homo sapiens	5-azacytidine induced 2(AZI2)
ENSG00000106049	HIBADH	Homo sapiens	3-hydroxyisobutyrate dehydrogenase(HIBADH)
ENSG00000070444	MNT	Homo sapiens	MAX network transcriptional repressor(MNT)
ENSG00000089060	SLC8B1	Homo sapiens	solute carrier family 8 member B1(SLC8B1)
ENSG00000188817	SNTN	Homo sapiens	sentan, cilia apical structure protein(SNTN)
ENSG00000196440	ARMCX4	Homo sapiens	armadillo repeat containing X-linked 4(ARMCX4)
ENSG00000214756	CSKMT	Homo sapiens	citrate synthase lysine methyltransferase(CSKMT)
ENSG00000163519	TRAT1	Homo sapiens	T cell receptor associated transmembrane adaptor 1(TRAT1)
ENSG00000180098	TRNAU1AP	Homo sapiens	tRNA selenocysteine 1 associated protein 1(TRNAU1AP)
ENSG00000197774	EME2	Homo sapiens	essential meiotic structure-specific endonuclease subunit 2(EME2)
ENSG00000180096	SEPTIN1	Homo sapiens	septin 1(SEPTIN1)
ENSG00000132334	PTPRE	Homo sapiens	protein tyrosine phosphatase receptor type E(PTPRE)
ENSG00000267281	ATF7-NPFF	Homo sapiens	ATF7-NPFF readthrough(ATF7-NPFF)
ENSG00000141298	SSH2	Homo sapiens	slingshot protein phosphatase 2(SSH2)
ENSG00000141294	LRRC46	Homo sapiens	leucine rich repeat containing 46(LRRC46)
ENSG00000141293	SKAP1	Homo sapiens	src kinase associated phosphoprotein 1(SKAP1)
ENSG00000184465	WDR27	Homo sapiens	WD repeat domain 27(WDR27)
ENSG00000205808	PLPP6	Homo sapiens	phospholipid phosphatase 6(PLPP6)
ENSG00000020181	ADGRA2	Homo sapiens	adhesion G protein-coupled receptor A2(ADGRA2)
ENSG00000188820	CALHM6	Homo sapiens	calcium homeostasis modulator family member 6(CALHM6)
ENSG00000163520	FBLN2	Homo sapiens	fibulin 2(FBLN2)
ENSG00000188827	SLX4	Homo sapiens	SLX4 structure-specific endonuclease subunit(SLX4)
ENSG00000163521	GLB1L	Homo sapiens	galactosidase beta 1 like(GLB1L)
ENSG00000258334	TROAP-AS1	Homo sapiens	TROAP and PRPH antisense RNA 1(TROAP-AS1)
ENSG00000131016	AKAP12	Homo sapiens	A-kinase anchoring protein 12(AKAP12)
ENSG00000133678	TMEM254	Homo sapiens	transmembrane protein 254(TMEM254)
ENSG00000196437	ZNF569	Homo sapiens	zinc finger protein 569(ZNF569)
ENSG00000226754	MAGOH-DT	Homo sapiens	MAGOH divergent transcript(MAGOH-DT)
ENSG00000145649	GZMA	Homo sapiens	granzyme A(GZMA)
ENSG00000188811	NHLRC3	Homo sapiens	NHL repeat containing 3(NHLRC3)
ENSG00000011243	AKAP8L	Homo sapiens	A-kinase anchoring protein 8 like(AKAP8L)
ENSG00000132313	MRPL35	Homo sapiens	mitochondrial ribosomal protein L35(MRPL35)
ENSG00000171160	MORN4	Homo sapiens	MORN repeat containing 4(MORN4)
ENSG00000153253	SCN3A	Homo sapiens	sodium voltage-gated channel alpha subunit 3(SCN3A)
ENSG00000213402	PTPRCAP	Homo sapiens	protein tyrosine phosphatase receptor type C associated protein(PTPRCAP)
ENSG00000171163	ZNF692	Homo sapiens	zinc finger protein 692(ZNF692)
ENSG00000112742	TTK	Homo sapiens	TTK protein kinase(TTK)
ENSG00000133640	LRRIQ1	Homo sapiens	leucine rich repeats and IQ motif containing 1(LRRIQ1)
ENSG00000154589	LY96	Homo sapiens	lymphocyte antigen 96(LY96)
ENSG00000146966	DENND2A	Homo sapiens	DENN domain containing 2A(DENND2A)
ENSG00000225431	LINC01671	Homo sapiens	long intergenic non-protein coding RNA 1671(LINC01671)
ENSG00000226763	SRRM5	Homo sapiens	serine/arginine repetitive matrix 5(SRRM5)
ENSG00000187513	GJA4	Homo sapiens	gap junction protein alpha 4(GJA4)
ENSG00000167904	TMEM68	Homo sapiens	transmembrane protein 68(TMEM68)
ENSG00000187514	PTMA	Homo sapiens	prothymosin alpha(PTMA)
ENSG00000164877	MICALL2	Homo sapiens	MICAL like 2(MICALL2)
ENSG00000164879	CA3	Homo sapiens	carbonic anhydrase 3(CA3)
ENSG00000167900	TK1	Homo sapiens	thymidine kinase 1(TK1)
ENSG00000106066	CPVL	Homo sapiens	carboxypeptidase vitellogenic like(CPVL)
ENSG00000188846	RPL14	Homo sapiens	ribosomal protein L14(RPL14)
ENSG00000146963	LUC7L2	Homo sapiens	LUC7 like 2, pre-mRNA splicing factor(LUC7L2)
ENSG00000134986	NREP	Homo sapiens	neuronal regeneration related protein(NREP)
ENSG00000171174	RBKS	Homo sapiens	ribokinase(RBKS)
ENSG00000132321	IQCA1	Homo sapiens	IQ motif containing with AAA domain 1(IQCA1)
ENSG00000157601	MX1	Homo sapiens	MX dynamin like GTPase 1(MX1)
ENSG00000106052	TAX1BP1	Homo sapiens	Tax1 binding protein 1(TAX1BP1)
ENSG00000121671	CRY2	Homo sapiens	cryptochrome circadian regulator 2(CRY2)
ENSG00000153234	NR4A2	Homo sapiens	nuclear receptor subfamily 4 group A member 2(NR4A2)
ENSG00000196482	ESRRG	Homo sapiens	estrogen related receptor gamma(ESRRG)
ENSG00000134954	ETS1	Homo sapiens	ETS proto-oncogene 1, transcription factor(ETS1)
ENSG00000246308	LOC101928053	Homo sapiens	uncharacterized LOC101928053(LOC101928053)
ENSG00000128274	A4GALT	Homo sapiens	alpha 1,4-galactosyltransferase (P1PK blood group)(A4GALT)
ENSG00000128271	ADORA2A	Homo sapiens	adenosine A2a receptor(ADORA2A)
ENSG00000133627	ACTR3B	Homo sapiens	actin related protein 3B(ACTR3B)
ENSG00000006634	DBF4	Homo sapiens	DBF4-CDC7 kinase regulatory subunit(DBF4)
ENSG00000267244	LOC100288123	Homo sapiens	uncharacterized LOC100288123(LOC100288123)
ENSG00000007968	E2F2	Homo sapiens	E2F transcription factor 2(E2F2)
ENSG00000130592	LSP1	Homo sapiens	lymphocyte specific protein 1(LSP1)
ENSG00000119321	FKBP15	Homo sapiens	FKBP prolyl isomerase family member 15(FKBP15)
ENSG00000153237	CCDC148	Homo sapiens	coiled-coil domain containing 148(CCDC148)
ENSG00000179902	CFAP276	Homo sapiens	cilia and flagella associated protein 276(CFAP276)
ENSG00000204514	ZNF814	Homo sapiens	zinc finger protein 814(ZNF814)
ENSG00000162231	NXF1	Homo sapiens	nuclear RNA export factor 1(NXF1)
ENSG00000204516	MICB	Homo sapiens	MHC class I polypeptide-related sequence B(MICB)
ENSG00000163563	MNDA	Homo sapiens	myeloid cell nuclear differentiation antigen(MNDA)
ENSG00000119328	ABITRAM	Homo sapiens	actin binding transcription modulator(ABITRAM)
ENSG00000120318	ARAP3	Homo sapiens	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3(ARAP3)
ENSG00000186204	CYP4F12	Homo sapiens	cytochrome P450 family 4 subfamily F member 12(CYP4F12)
ENSG00000187535	IFT140	Homo sapiens	intraflagellar transport 140(IFT140)
ENSG00000133619	KRBA1	Homo sapiens	KRAB-A domain containing 1(KRBA1)
ENSG00000163564	PYHIN1	Homo sapiens	pyrin and HIN domain family member 1(PYHIN1)
ENSG00000069493	CLEC2D	Homo sapiens	C-type lectin domain family 2 member D(CLEC2D)
ENSG00000141258	SGSM2	Homo sapiens	small G protein signaling modulator 2(SGSM2)
ENSG00000122970	IFT81	Homo sapiens	intraflagellar transport 81(IFT81)
ENSG00000212123	PRR22	Homo sapiens	proline rich 22(PRR22)
ENSG00000214784	RPS3AP21	Homo sapiens	RPS3A pseudogene 21(RPS3AP21)
ENSG00000212127	PRH1-TAS2R14	Homo sapiens	PRH1-TAS2R14 readthrough(PRH1-TAS2R14)
ENSG00000212127	TAS2R14	Homo sapiens	taste 2 receptor member 14(TAS2R14)
ENSG00000089091	DZANK1	Homo sapiens	double zinc ribbon and ankyrin repeat domains 1(DZANK1)
ENSG00000128284	APOL3	Homo sapiens	apolipoprotein L3(APOL3)
ENSG00000196476	C20orf96	Homo sapiens	chromosome 20 open reading frame 96(C20orf96)
ENSG00000174226	SNX31	Homo sapiens	sorting nexin 31(SNX31)
ENSG00000269893	SNHG8	Homo sapiens	small nucleolar RNA host gene 8(SNHG8)
ENSG00000119333	DYNC2I2	Homo sapiens	dynein 2 intermediate chain 2(DYNC2I2)
ENSG00000154556	SORBS2	Homo sapiens	sorbin and SH3 domain containing 2(SORBS2)
ENSG00000122986	HVCN1	Homo sapiens	hydrogen voltage gated channel 1(HVCN1)
ENSG00000183160	TMEM119	Homo sapiens	transmembrane protein 119(TMEM119)
ENSG00000145604	SKP2	Homo sapiens	S-phase kinase associated protein 2(SKP2)
ENSG00000183161	FANCF	Homo sapiens	FA complementation group F(FANCF)
ENSG00000226711	FAM66C	Homo sapiens	family with sequence similarity 66 member C(FAM66C)
ENSG00000162244	RPL29	Homo sapiens	ribosomal protein L29(RPL29)
ENSG00000108654	DDX5	Homo sapiens	DEAD-box helicase 5(DDX5)
ENSG00000163576	EFHB	Homo sapiens	EF-hand domain family member B(EFHB)
ENSG00000213442	RPL18AP3	Homo sapiens	ribosomal protein L18a pseudogene 3(RPL18AP3)
ENSG00000213445	SIPA1	Homo sapiens	signal-induced proliferation-associated 1(SIPA1)
ENSG00000176890	TYMS	Homo sapiens	thymidylate synthetase(TYMS)
ENSG00000146918	NCAPG2	Homo sapiens	non-SMC condensin II complex subunit G2(NCAPG2)
ENSG00000121621	KIF18A	Homo sapiens	kinesin family member 18A(KIF18A)
ENSG00000100726	TELO2	Homo sapiens	telomere maintenance 2(TELO2)
ENSG00000122952	ZWINT	Homo sapiens	ZW10 interacting kinetochore protein(ZWINT)
ENSG00000011295	TTC19	Homo sapiens	tetratricopeptide repeat domain 19(TTC19)
ENSG00000180902	D2HGDH	Homo sapiens	D-2-hydroxyglutarate dehydrogenase(D2HGDH)
ENSG00000070476	ZXDC	Homo sapiens	ZXD family zinc finger C(ZXDC)
ENSG00000130589	HELZ2	Homo sapiens	helicase with zinc finger 2(HELZ2)
ENSG00000246339	EXTL3-AS1	Homo sapiens	EXTL3 antisense RNA 1(EXTL3-AS1)
ENSG00000153208	MERTK	Homo sapiens	MER proto-oncogene, tyrosine kinase(MERTK)
ENSG00000178607	ERN1	Homo sapiens	endoplasmic reticulum to nucleus signaling 1(ERN1)
ENSG00000122965	RBM19	Homo sapiens	RNA binding motif protein 19(RBM19)
ENSG00000163596	ICA1L	Homo sapiens	islet cell autoantigen 1 like(ICA1L)
ENSG00000120306	CYSTM1	Homo sapiens	cysteine rich transmembrane module containing 1(CYSTM1)
ENSG00000180914	OXTR	Homo sapiens	oxytocin receptor(OXTR)
ENSG00000106012	IQCE	Homo sapiens	IQ motif containing E(IQCE)
ENSG00000149294	NCAM1	Homo sapiens	neural cell adhesion molecule 1(NCAM1)
ENSG00000149292	TTC12	Homo sapiens	tetratricopeptide repeat domain 12(TTC12)
ENSG00000174132	FAM174A	Homo sapiens	family with sequence similarity 174 member A(FAM174A)
ENSG00000175463	TBC1D10C	Homo sapiens	TBC1 domain family member 10C(TBC1D10C)
ENSG00000150281	CTF1	Homo sapiens	cardiotrophin 1(CTF1)
ENSG00000198105	ZNF248	Homo sapiens	zinc finger protein 248(ZNF248)
ENSG00000153317	ASAP1	Homo sapiens	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1(ASAP1)
ENSG00000119401	TRIM32	Homo sapiens	tripartite motif containing 32(TRIM32)
ENSG00000155974	GRIP1	Homo sapiens	glutamate receptor interacting protein 1(GRIP1)
ENSG00000119402	FBXW2	Homo sapiens	F-box and WD repeat domain containing 2(FBXW2)
ENSG00000143995	MEIS1	Homo sapiens	Meis homeobox 1(MEIS1)
ENSG00000140009	ESR2	Homo sapiens	estrogen receptor 2(ESR2)
ENSG00000141338	ABCA8	Homo sapiens	ATP binding cassette subfamily A member 8(ABCA8)
ENSG00000175471	MCTP1	Homo sapiens	multiple C2 and transmembrane domain containing 1(MCTP1)
ENSG00000103042	SLC38A7	Homo sapiens	solute carrier family 38 member 7(SLC38A7)
ENSG00000108733	PEX12	Homo sapiens	peroxisomal biogenesis factor 12(PEX12)
ENSG00000243244	STON1	Homo sapiens	stonin 1(STON1)
ENSG00000248932	COPB2-DT	Homo sapiens	COPB2 divergent transcript(COPB2-DT)
ENSG00000130684	ZNF337	Homo sapiens	zinc finger protein 337(ZNF337)
ENSG00000064607	SUGP2	Homo sapiens	SURP and G-patch domain containing 2(SUGP2)
ENSG00000167851	CD300A	Homo sapiens	CD300a molecule(CD300A)
ENSG00000116350	SRSF4	Homo sapiens	serine and arginine rich splicing factor 4(SRSF4)
ENSG00000163491	NEK10	Homo sapiens	NIMA related kinase 10(NEK10)
ENSG00000183087	GAS6	Homo sapiens	growth arrest specific 6(GAS6)
ENSG00000224975	INE1	Homo sapiens	inactivation escape 1(INE1)
ENSG00000167858	TEKT1	Homo sapiens	tektin 1(TEKT1)
ENSG00000166523	CLEC4E	Homo sapiens	C-type lectin domain family 4 member E(CLEC4E)
ENSG00000142655	PEX14	Homo sapiens	peroxisomal biogenesis factor 14(PEX14)
ENSG00000166526	ZNF3	Homo sapiens	zinc finger protein 3(ZNF3)
ENSG00000149273	RPS3	Homo sapiens	ribosomal protein S3(RPS3)
ENSG00000130653	PNPLA7	Homo sapiens	patatin like domain 7, lysophospholipase(PNPLA7)
ENSG00000174156	GSTA3	Homo sapiens	glutathione S-transferase alpha 3(GSTA3)
ENSG00000198125	MB	Homo sapiens	myoglobin(MB)
ENSG00000175489	LRRC25	Homo sapiens	leucine rich repeat containing 25(LRRC25)
ENSG00000082497	SERTAD4	Homo sapiens	SERTA domain containing 4(SERTAD4)
ENSG00000143977	SNRPG	Homo sapiens	small nuclear ribonucleoprotein polypeptide G(SNRPG)
ENSG00000187474	FPR3	Homo sapiens	formyl peptide receptor 3(FPR3)
ENSG00000223658	C1GALT1C1L	Homo sapiens	C1GALT1 specific chaperone 1 like(C1GALT1C1L)
ENSG00000165209	STRBP	Homo sapiens	spermatid perinuclear RNA binding protein(STRBP)
ENSG00000128335	APOL2	Homo sapiens	apolipoprotein L2(APOL2)
ENSG00000129675	ARHGEF6	Homo sapiens	Rac/Cdc42 guanine nucleotide exchange factor 6(ARHGEF6)
ENSG00000128342	LIF	Homo sapiens	LIF interleukin 6 family cytokine(LIF)
ENSG00000072210	ALDH3A2	Homo sapiens	aldehyde dehydrogenase 3 family member A2(ALDH3A2)
ENSG00000128340	RAC2	Homo sapiens	Rac family small GTPase 2(RAC2)
ENSG00000085514	PILRA	Homo sapiens	paired immunoglobin like type 2 receptor alpha(PILRA)
ENSG00000121716	PILRB	Homo sapiens	paired immunoglobin like type 2 receptor beta(PILRB)
ENSG00000186132	C2orf76	Homo sapiens	chromosome 2 open reading frame 76(C2orf76)
ENSG00000165219	GAPVD1	Homo sapiens	GTPase activating protein and VPS9 domains 1(GAPVD1)
ENSG00000128346	C22orf23	Homo sapiens	chromosome 22 open reading frame 23(C22orf23)
ENSG00000177202	SPACA4	Homo sapiens	sperm acrosome associated 4(SPACA4)
ENSG00000130635	COL5A1	Homo sapiens	collagen type V alpha 1 chain(COL5A1)
ENSG00000065970	FOXJ2	Homo sapiens	forkhead box J2(FOXJ2)
ENSG00000227191	TRGC2	Homo sapiens	T cell receptor gamma constant 2(TRGC2)
ENSG00000269821	KCNQ1OT1	Homo sapiens	KCNQ1 opposite strand/antisense transcript 1(KCNQ1OT1)
ENSG00000211689	TRGC1	Homo sapiens	T cell receptor gamma constant 1(TRGC1)
ENSG00000137266	SLC22A23	Homo sapiens	solute carrier family 22 member 23(SLC22A23)
ENSG00000151575	TEX9	Homo sapiens	testis expressed 9(TEX9)
ENSG00000143951	WDPCP	Homo sapiens	WD repeat containing planar cell polarity effector(WDPCP)
ENSG00000118997	DNAH7	Homo sapiens	dynein axonemal heavy chain 7(DNAH7)
ENSG00000137265	IRF4	Homo sapiens	interferon regulatory factor 4(IRF4)
ENSG00000038358	EDC4	Homo sapiens	enhancer of mRNA decapping 4(EDC4)
ENSG00000186166	CENATAC	Homo sapiens	centrosomal AT-AC splicing factor(CENATAC)
ENSG00000270820	USP34-DT	Homo sapiens	USP34 divergent transcript(USP34-DT)
ENSG00000142621	FHAD1	Homo sapiens	forkhead associated phosphopeptide binding domain 1(FHAD1)
ENSG00000004848	ARX	Homo sapiens	aristaless related homeobox(ARX)
ENSG00000155926	SLA	Homo sapiens	Src like adaptor(SLA)
ENSG00000214706	IFRD2	Homo sapiens	interferon related developmental regulator 2(IFRD2)
ENSG00000236914	LINC01852	Homo sapiens	long intergenic non-protein coding RNA 1852(LINC01852)
ENSG00000117643	MAN1C1	Homo sapiens	mannosidase alpha class 1C member 1(MAN1C1)
ENSG00000130640	TUBGCP2	Homo sapiens	tubulin gamma complex component 2(TUBGCP2)
ENSG00000137273	FOXF2	Homo sapiens	forkhead box F2(FOXF2)
ENSG00000137274	BPHL	Homo sapiens	biphenyl hydrolase like(BPHL)
ENSG00000143942	CHAC2	Homo sapiens	ChaC glutathione specific gamma-glutamylcyclotransferase 2(CHAC2)
ENSG00000051341	POLQ	Homo sapiens	DNA polymerase theta(POLQ)
ENSG00000143947	RPS27A	Homo sapiens	ribosomal protein S27a(RPS27A)
ENSG00000131969	ABHD12B	Homo sapiens	abhydrolase domain containing 12B(ABHD12B)
ENSG00000103005	USB1	Homo sapiens	U6 snRNA biogenesis phosphodiesterase 1(USB1)
ENSG00000180855	ZNF443	Homo sapiens	zinc finger protein 443(ZNF443)
