Affymetrix_ID	FC	Gene_Symbol
213478_at	-2.450980392	KIAA1026
219990_at	-2.444987775	E2F8
240908_at	-2.444987775	PDCD6
212240_s_at	-2.444987775	PIK3R1
202350_s_at	-2.433090024	MATN2
226636_at	-2.433090024	PLD1
1559059_s_at	-2.433090024	ZNF611
212420_at	-2.421307506	ELF1
228450_at	-2.421307506	PLEKHA7
203144_s_at	-2.421307506	KIAA0040
211607_x_at	-2.398081535	EGFR
228977_at	-2.398081535	IL17D
228067_at	-2.380952381	MGC42367
201404_x_at	-2.375296912	PSMB2
1558220_at	-2.369668246	MUC20
214154_s_at	-2.364066194	PKP2
214602_at	-2.358490566	COL4A4
209885_at	-2.358490566	RHOD
212316_at	-2.352941176	NUP210
227753_at	-2.34741784	TMEM139
219395_at	-2.341920375	RBM35B
216899_s_at	-2.341920375	SCAP2
224724_at	-2.336448598	SULF2
227454_at	-2.336448598	TAOK1
233955_x_at	-2.331002331	CXXC5
206109_at	-2.331002331	FUT1
1554177_a_at	-2.325581395	ATP5S
212977_at	-2.325581395	CMKOR1
219858_s_at	-2.325581395	MFSD6
209493_at	-2.314814815	PDZD2
235783_at	-2.314814815	MRTO4
1553105_s_at	-2.304147465	DSG2
205862_at	-2.293577982	GREB1
204364_s_at	-2.283105023	REEP1
224817_at	-2.283105023	SH3PXD2A
226575_at	-2.283105023	ZNF462
227347_x_at	-2.272727273	HES4
204359_at	-2.267573696	FLRT2
202637_s_at	-2.267573696	ICAM1
205613_at	-2.262443439	SYT17
204765_at	-2.247191011	ARHGEF5
223949_at	-2.247191011	TMPRSS3
1555989_at	-2.242152466	GPR135
226489_at	-2.237136465	TMCC3
1554619_at	-2.227171492	LOC153364
200731_s_at	-2.212389381	PTP4A1
210057_at	-2.212389381	SMG1
202131_s_at	-2.207505519	RIOK3
208009_s_at	-2.202643172	ARHGEF16
230793_at	-2.183406114	LRRC16
237515_at	-2.183406114	TMEM56
209369_at	-2.178649237	ANXA3
231932_at	-2.178649237	TRAF3IP3
204456_s_at	-2.173913043	GAS1
218902_at	-2.173913043	NOTCH1
212057_at	-2.173913043	KIAA0182
235549_at	-2.169197397	IBRDC2
226803_at	-2.159827214	CHMP4C
205569_at	-2.150537634	LAMP3
218342_s_at	-2.136752137	ERMP1
220085_at	-2.132196162	HELLS
238593_at	-2.127659574	FLJ22531
202086_at	-2.109704641	MX1
201565_s_at	-2.105263158	ID2
204391_x_at	-2.105263158	TRIM24
219959_at	-2.100840336	MOCOS
223287_s_at	-2.092050209	FOXP1
222413_s_at	-2.092050209	MLL3
219821_s_at	-2.087682672	GFOD1
229310_at	-2.087682672	KBTBD9
242112_at	-2.083333333	LSM11
236313_at	-2.079002079	CDKN2B
205288_at	-2.074688797	CDC14A
1555137_a_at	-2.070393375	FGD6
213228_at	-2.066115702	PDE8B
220520_s_at	-2.05338809	NUP62CL
203917_at	-2.049180328	CXADR
204188_s_at	-2.049180328	RARG
213172_at	-2.049180328	TTC9
1555250_a_at	-2.044989775	CPEB3
208165_s_at	-2.044989775	PRSS16
201615_x_at	-2.036659878	CALD1
228494_at	-2.036659878	PPP1R9A
220945_x_at	-2.032520325	MANSC1
204484_at	-2.028397566	PIK3C2B
217475_s_at	-2.024291498	LIMK2
219681_s_at	-2.024291498	RAB11FIP1
207761_s_at	-2.016129032	METTL7A
223692_at	-2.016129032	NMNAT1
244007_at	-2.008032129	ZNF462
218689_at	-2.004008016	FANCF
