Affymetrix ID	FC	Gene Symbol
1552546_a_at	2.406	LETM2
212347_x_at	2.405	MXD4
227697_at	2.404	SOCS3
229674_at	2.404	SERTAD4
219746_at	2.399	DPF3
233030_at	2.393	PNPLA3
213345_at	2.385	NFATC4
203729_at	2.376	EMP3
205730_s_at	2.373	ABLIM3
201666_at	2.372	TIMP1
216180_s_at	2.37	SYNJ2
239572_at	2.367	GJA3
209398_at	2.366	HIST1H1C
243264_s_at	2.353	SGK3 /// C8orf44
225622_at	2.353	PAG1
1555843_at	2.332	HNRPM
204265_s_at	2.318	GPSM3
223458_at	2.315	LOC652900
215189_at	2.304	KRTHB6 /// LOC650428
229404_at	2.296	TWIST2
214542_x_at	2.294	HIST1H2AI
224397_s_at	2.292	TMTC1 /// LOC653626
207390_s_at	2.291	SMTN
225524_at	2.275	ANTXR2
243818_at	2.272	SFTA1P
212739_s_at	2.271	NME4
1558705_at	2.269	ATOH8
240633_at	2.261	DOK7
213435_at	2.257	SATB2
1553572_a_at	2.257	CYGB
203921_at	2.252	CHST2
213112_s_at	2.25	SQSTM1
1561687_a_at	2.248	ZNF382
205352_at	2.238	SERPINI1
1560477_a_at	2.238	SAMD11
223159_s_at	2.231	NEK6
211555_s_at	2.226	GUCY1B3
218820_at	2.226	C14orf132
209118_s_at	2.224	TUBA3
1553637_s_at	2.222	TMCO5
231166_at	2.219	GPR155
232777_s_at	2.216	C6orf118
241706_at	2.199	CPNE8
226614_s_at	2.198	FAM167A
207781_s_at	2.193	ZNF6
223475_at	2.183	CRISPLD1
212665_at	2.176	TIPARP
205463_s_at	2.17	PDGFA
242888_at	2.166	PRRT3
210665_at	2.165	TFPI
208124_s_at	2.164	SEMA4F
205357_s_at	2.158	AGTR1
230872_s_at	2.157	TTLL3
213059_at	2.146	CREB3L1
204222_s_at	2.125	GLIPR1
227048_at	2.124	LAMA1
219483_s_at	2.121	PORCN
243357_at	2.12	NEGR1
241464_s_at	2.12	FLJ27365
235239_at	2.109	QSCN6L1
204702_s_at	2.106	NFE2L3
221534_at	2.101	C11orf68
205104_at	2.1	SNPH
209765_at	2.099	ADAM19
1558969_a_at	2.098	RPL32P3
208626_s_at	2.096	VAT1
210201_x_at	2.096	BIN1
1559222_at	2.091	CCDC99
223629_at	2.09	PCDHB5
38964_r_at	2.089	WAS
204422_s_at	2.086	FGF2
223082_at	2.085	SH3KBP1
227345_at	2.084	TNFRSF10D
226722_at	2.084	FAM20C
214051_at	2.08	MGC39900
209529_at	2.077	PPAP2C
212769_at	2.076	TLE3
217728_at	2.068	S100A6
200982_s_at	2.067	ANXA6
202948_at	2.062	IL1R1
209829_at	2.061	FAM65B
203650_at	2.06	PROCR
203708_at	2.059	PDE4B
220198_s_at	2.056	EIF5A2
241014_at	2.055	LOC339400
219233_s_at	2.054	GSDML
209835_x_at	2.054	CD44
204774_at	2.052	EVI2A
239492_at	2.049	SEC14L4
232774_x_at	2.048	ZIK1
230600_at	2.046	LRRC46
224911_s_at	2.042	DCBLD2
243606_at	2.04	FAM55C
212423_at	2.039	ZCCHC24
244334_at	2.037	TRAM1L1
201858_s_at	2.034	PRG1
214954_at	2.029	SUSD5
204529_s_at	2.027	TOX
206435_at	2.027	B4GALNT1
226568_at	2.024	FAM102B
203083_at	2.023	THBS2
205924_at	2.023	RAB3B
236277_at	2.021	PAK3
219545_at	2.021	KCTD14
211825_s_at	2.021	FLI1
204115_at	2.02	GNG11
38671_at	2.018	PLXND1
211026_s_at	2.015	MGLL
225061_at	2.015	DNAJA4
223622_s_at	2.013	HYI
204669_s_at	2.01	RNF24
226751_at	2.005	C2orf32
207643_s_at	2.002	TNFRSF1A
